domain,category,source_query,first_impression,filter1_live_nl,filter2_recent_content,filter3_doelgroep_match,overall_pass,reason_if_failed,fetched_at
nvp-hrnetwerk.nl,C8,NVP personeelsmanagement publicatie,Beroepsvereniging HR-professionals met magazine en partnerschap Tijdschrift voor HRM.,PASS,PASS,PASS,PASS,,2026-05-23T12:43:00Z
ondernemersbelang.nl,C16,ergonomie mentaal welzijn,Ondernemersmedium met regiocontent over werknemerswelzijn en ergonomie.,PASS,PASS,PASS,PASS,,2026-05-23T12:43:00Z
onderzoekonderwijs.net,C15,CNV Onderwijs HR blog,Blogcollectief onderzoek onderwijs over burn-out als beroepsrisico.,PASS,FAIL,UNCLEAR,FAIL,Geen recente 2025/2026 blogposts en doelgroep is leraren niet HR,2026-05-23T12:43:00Z
organizeagile.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Agile-adviseur met blog over leiderschap en coaching,PASS,UNCLEAR,PASS,PASS,,2026-05-23T12:43:00Z
personalfitnessnederland.nl,C4,vitaliteitsmanager blog,Personal training netwerk met vitaliteitsblog gericht op werkgevers/coaches.,PASS,PASS,FAIL,FAIL,Personal training is gericht op consumenten - geen werkgevers-/HR-content,2026-05-23T12:43:00Z
pggm.nl,C7,vernet verzuim benchmark zorg,Pensioenuitvoerder zorg met persberichten en publicaties over verzuim in de zorgsector.,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
priorities.nl,C16,burnout werkgever blog,Coach/adviespraktijk met blogs over Arbeidsinspectie en burn-out preventie.,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
psychosenet.nl,C16,polyvagaal informatie,Patiëntenplatform met betrouwbare info over polyvagaal therapie.,PASS,PASS,FAIL,FAIL,Patiëntenplatform B2C - geen werkgevers- of HR-doelgroep,2026-05-23T12:45:00Z
qruxx.com,C12,Qruxx Zorg artikel publicatie,Kennisplatform passende zorg (geintegreerd met Zorgvisie) met openheid voor inhoudelijke bijdragen.,PASS,UNCLEAR,PASS,PASS,,2026-05-23T12:45:00Z
remplooi.nl,C9,UWV Perspectief artikel werkgever,Re-integratiebedrijf met blogs over verzuimprotocol en HR-praktijk.,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
rondomwerk.nl,C2,arbodienst Nederland,Maatwerk arbodienst met informatieve content.,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
sboh.nl,C15,SBOH huisarts bedrijfsarts,Werkgever van artsen in opleiding met content over arbozaken en preventief spreekuur.,PASS,PASS,UNCLEAR,PASS,,2026-05-23T12:45:00Z
ser.nl,C9,SER blog werkgever Nederland,Sociaal-Economische Raad met thema's duurzame inzetbaarheid en leven lang ontwikkelen.,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
smartservices.nl,C5,ondernemers blog Nederland verzuim,Arbo/verzuim-adviseur met blog gericht op MKB-ondernemers,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
stavv.nl,C16,casemanager re-integratie,Verzuimbureau met blog over re-integratie en casemanagement.,PASS,UNCLEAR,PASS,PASS,,2026-05-23T12:45:00Z
svland.nl,C16,casemanagement ziekteverzuim,Verzuimspecialist met kennisbank casemanagement effectief verzuim.,PASS,PASS,PASS,PASS,,2026-05-23T12:48:00Z
therapoint.nl,C11,coach federatie Nederland blog,Coach- en therapeutenplatform met blog over coachvak en tarieven.,PASS,PASS,PASS,PASS,,2026-05-23T12:48:00Z
toolshero.nl,C1|C6,HR systemen casemanagement,Managementmodellen-platform met content over HR en casemanagement.,PASS,PASS,PASS,PASS,,2026-05-23T12:48:00Z
trendsinhr.nl,C6,ondernemerstijdschrift Nederland HR personeel artikel,Onderzoeksplatform met magazine over HR-trends in Nederland,PASS,PASS,PASS,PASS,,2026-05-23T12:48:00Z
upledger.nl,C16,polyvagaal blog,Opleidingsinstituut craniosacraal met blog over zenuwstelsel.,PASS,PASS,UNCLEAR,PASS,,2026-05-23T12:48:00Z
vernet.nl,C7,vernet verzuim benchmark zorg,Marktleider verzuimbenchmark zorg sinds 1996 met data en analyses.,PASS,PASS,PASS,PASS,,2026-05-23T12:48:00Z
visma.com,C10,"""Visma Raet"" blog gastauteur HR",Visma blog (NL) met content over digitale HR en hybride werken,PASS,PASS,PASS,PASS,,2026-05-23T12:48:00Z
vitalmindz.nl,C14,mental health benefit platform NL,Mental health app met content gericht op werkgevers en HR.,PASS,PASS,PASS,PASS,,2026-05-23T12:48:00Z
waarderpolder.nl,C9,WSP werkgeversservicepunt artikel,Bedrijventerrein-platform met artikelen over inclusief werkgeverschap.,PASS,PASS,UNCLEAR,PASS,,2026-05-23T12:48:00Z
werkreturn.nl,C9,UWV Perspectief artikel werkgever,Re-integratiebureau met content over arbeidsongeschiktheid.,PASS,PASS,PASS,PASS,,2026-05-23T12:48:00Z
wsgo.nl,C9,gemeente werkgevers vitaliteit blog,Werkgeversvereniging Samenwerkende Gemeentelijke Organisaties met cao-content.,PASS,PASS,PASS,PASS,,2026-05-23T12:50:00Z
wspzkij.nl,C9,WSP werkgeversservicepunt artikel,WSP Zuid-Kennemerland/IJmond met verslagen en artikelen over inclusie.,PASS,PASS,PASS,PASS,,2026-05-23T12:50:00Z
youforce.nl,C10,"""Visma Raet"" blog gastauteur HR",HR & salarisplatform van Visma met werkgever-content,PASS,PASS,PASS,PASS,,2026-05-23T12:50:00Z
zilverenkruis.nl,C1|C7,duurzame inzetbaarheid wetenschap,Zorgverzekeraar met zakelijke blog over wetenschap achter inzetbaarheid en KOBA-DI.,PASS,UNCLEAR,PASS,PASS,,2026-05-23T12:50:00Z
zorginstituutnederland.nl,C12,zorgmagazine vakblad B2B Nederland,Officieel Zorginstituut met magazine - autoriteitsplatform.,PASS,PASS,UNCLEAR,PASS,,2026-05-23T12:50:00Z
zorgvoorwerkgeluk.nl,C1|C12,HR Zone werkgeluk,HRM-kennisplatform voor zorgsector met focus op werkgeluk en welzijn; relevant voor HR in zorg.,PASS,PASS,PASS,PASS,,2026-05-23T12:50:00Z
