rank,domain,category,fit_score,composite_score,domain_rating_estimate,dr_label,recent_article_date,recent_article_url,recent_article_title,doelgroep_match,doelgroep_omschrijving,fit_motivation,pitch_angle,submission_proces_hint,submission_url_hint,first_impression,source_query,verified_via,agent_id
11,tijdschriftdepsycholoog.nl,C8,4,0.8,HIGH (DR 60+),estimated,2026-04,https://www.tijdschriftdepsycholoog.nl/edities/,De Psycholoog nr. 2 - april 2026,psycholoog,"NIP-leden: BIG-geregistreerde psychologen, onderzoekers en docenten.",NIP-vakblad met open auteurspolicy mits wetenschappelijk onderbouwd; sterke autoriteit en doelgroep voor zenuwstelsel-/burn-out content.,Wetenschappelijk onderbouwde bijdrage over zenuwstelsel-regulatie in psychologische zorg bij werkgerelateerde uitval.,open call,niet gevonden,NIP-vakblad De Psycholoog accepteert auteursvoorstellen met wetenschappelijke onderbouwing.,NIP psychologie publicatie auteur,WebSearch,D
12,mkbservicedesk.nl,C5,5,0.775,HIGH (DR 60+),estimated,2025-2026,https://www.mkbservicedesk.nl/nieuws/ondernemersnieuws/stressgerelateerd-verzuim-neemt-toe-bij-vrouwen-twee-keer-zo-hoog-als-bij-mannen,Stressgerelateerd verzuim neemt toe; bij vrouwen twee keer zo hoog als bij mannen,ondernemer,MKB-ondernemers en HR-/personeelszaken bij kleinere bedrijven.,"Topkennisbank voor MKB met actuele content over stress-verzuim, HR-trends 2026 en re-integratie; bekend om gastauteurs uit het werkveld.","Praktische gids voor MKB-werkgevers: zenuwstelsel-regulatie als kosteneffectieve aanpak van stijgend stressverzuim, vooral bij vrouwen.",open call,niet gevonden,Kennisbank van MKB-Nederland met sectie over verzuim en re-integratie,"""MKB Servicedesk"" OR ""De Ondernemer"" gastauteur",WebSearch,D
13,hrmorgen.nl,C1,5,0.775,MEDIUM (DR 30-60),estimated,2026-05,https://www.hrmorgen.nl/2026/05/de-cijfers-achter-digitalisering-en-ai-op-de-werkvloer/,De cijfers achter digitalisering en AI op de werkvloer,HR,"HR-professionals, HR-managers en directieleden bij Nederlandse organisaties; nieuws, opinie, onderzoek.",Toonaangevend NL HR-vakblad met regelmatige opinie/expert-bijdragen en thema's burn-out/werknemersbetrokkenheid — uitstekende fit voor gastartikel.,Hoe HR-managers werknemersbetrokkenheid herstellen via zenuwstelselregulatie — voorbij wellness-vinkjes.,pitch via redactie,niet gevonden,HR-nieuws en opinieplatform met artikelen over burn-out en generatieproblematiek.,HR community blog verzuim,WebSearch,F
14,mkbasics.nl,C3,5,0.775,MEDIUM (DR 30-60),estimated,2026-05-01,https://www.mkbasics.nl/,Pink absenteeism - de onzichtbare fase voor burn-out,arbo,"MKB-werkgevers en HR-managers die een arbodienst zoeken voor verzuim, bedrijfsgezondheidszorg en preventie.","Arbodienst-blog met meerdere actuele artikelen over pink-verzuim, frequent verzuim, burn-out — exact de doelgroep en open redactie via webinars.",Pink verzuim herkennen: hoe zenuwstelsel-signalen de onzichtbare fase voor burn-out blootleggen.,pitch via redactie,niet gevonden,Arbodienst voor MKB met nieuws en eventsectie over bedrijfsgezondheidszorg.,bedrijfsgezondheidszorg MKB,WebSearch,B
15,npdi.nl,C2,5,0.775,MEDIUM (DR 30-60),estimated,2026-03-23,https://www.npdi.nl/netwerkbijeenkomsten/,Netwerkbijeenkomst NPDI maart 2026,HR,"HR-managers, duurzame inzetbaarheid-adviseurs en beleidsmakers in NL bedrijfsleven en overheid.",Kennisnetwerk specifiek voor duurzame inzetbaarheid met DIX-benchmark en netwerkbijeenkomsten — sterke fit en kennisdeling aannemelijk.,Zenuwstelselregulatie als ontbrekende laag in de DIX-benchmark — een nieuwe lens op duurzame inzetbaarheid.,pitch via redactie,niet gevonden,Nationaal Platform Duurzame Inzetbaarheid; kennisnetwerk met HR/DI focus.,duurzame inzetbaarheid platform,WebSearch,F
16,ondernemenmetpersoneel.nl,C5|C9,5,0.775,MEDIUM (DR 30-60),estimated,2026-04-13,https://www.ondernemenmetpersoneel.nl/nieuws-update-24-2025,Ondernemers positief over 2026; Jonge werknemers mentaal onder druk,werkgever,"Ondernemers en MKB-werkgevers die personeel werven, beheren en geïnformeerd willen zijn over wetgeving en arbeidsmarkt.","Direct passend platform voor MKB-werkgevers met content over verzuim, jonge werknemers mentaal onder druk en HR-wetten; perfecte doelgroep voor zenuwstelsel-pitch.",Jonge werknemers mentaal onder druk in 2026 — wat MKB-ondernemers kunnen doen vanuit zenuwstelsel-perspectief.,pitch via redactie,niet gevonden,Specifiek platform voor werkgevers met content over verzuim en HR-trends,Nederlandse ondernemers magazine personeel verzuim,WebSearch,C
17,onderwijsvanmorgen.nl,C15,5,0.775,MEDIUM (DR 30-60),estimated,2026-05-20,https://www.onderwijsvanmorgen.nl/van-werkdruk-naar-werkgeluk-waardoor-is-de-werkdruk-in-het-onderwijs-zo-hoog-en-wat-doen-we-eraan/,Van werkdruk naar werkgeluk in het onderwijs,onderwijs,"Leraren, schoolleiders en onderwijsprofessionals (PO/VO/MBO) die zoeken naar inzichten over werkdruk, werkgeluk en onderwijsontwikkeling.","Actief onderwijsmedium met meerdere artikelen over werkdruk-naar-werkgeluk, leerkracht-welzijn — directe match voor zenuwstelsel-content, open redactie waarschijnlijk.",Zenuwstelsel-bewust lesgeven: praktische tools voor leraren en schoolleiders om werkdruk om te zetten in werkgeluk.,pitch via redactie,niet gevonden,Onderwijsmedium met artikelen over werkdruk en werkgeluk.,CNV Onderwijs HR blog,WebSearch,B
18,performa-hr.nl,C14|C10,5,0.775,MEDIUM (DR 30-60),estimated,2026-06-04,https://performa-hr.nl/product/hr-trendcongres/,HR Trendcongres 2026 - Performa HR,HR,"HR-managers en HR-professionals — vakplatform met congressen (HR Live, Trendcongres) en blog.",Vakplatform met blog en gastbijdragen van mentale-welzijnpartijen; congresecosysteem biedt extra spreker-/auteursroute.,Zenuwstelselregulatie: het ontbrekende fundament onder mentaal welzijn-programma's die werkgevers nu inkopen.,pitch via redactie,niet gevonden,HR-platform dat interviews en gastbijdragen publiceert van mentale-welzijnpartijen.,OpenUp werkgever blog,WebSearch,F
19,tbv-online.nl,C3|C8,5,0.775,MEDIUM (DR 30-60),estimated,2026-03-11,https://www.tbv-online.nl/de-burn-out-epidemie-verklaard/,22e TBV Congres: De burn-out-epidemie verklaard (11 maart 2026),bedrijfsarts,"Bedrijfsartsen, verzekeringsartsen en sociale geneeskundigen die wetenschappelijke en praktijk-relevante content lezen.",Vakblad bedrijfs-/verzekeringsgeneeskunde met expliciet open manuscript-process; congres-thema 2026 'burn-out epidemie verklaard' is perfect passend bij zenuwstelsel-thema.,Wat de polyvagale theorie toevoegt aan de burn-out-epidemie-discussie: een manuscript voor TBV-lezers.,pitch via redactie,niet gevonden,Tijdschrift voor Bedrijfs- en Verzekeringsgeneeskunde; accepteert manuscripts via redactie.,Tijdschrift Bedrijfs- en Verzekeringsgeneeskunde,WebSearch,C
20,vernet.nl,C7,5,0.775,MEDIUM (DR 30-60),estimated,2026-03-17,https://www.vernet.nl/2026/03/17/webinar-van-zorgwekkende-verzuimcijfers-naar-een-cultuur-waarin-mensen-floreren-waar-begin-je-concreet/,Webinar: Van zorgwekkende verzuimcijfers naar een cultuur waarin mensen floreren,HR,"HR-managers, bestuurders en arbo-professionals in de zorgsector die verzuimcijfers benchmarken.",Vernet is dé verzuimbenchmark voor de zorgsector met actief webinar/event-programma over cultuur en floreren; perfecte fit voor zenuwstelsel-pitch aan zorg-HR.,Van verzuimdata naar cultuurinterventie: zenuwstelsel-regulatie als brug tussen Vernet-cijfers en floreren in zorg-teams.,pitch via redactie,niet gevonden,Marktleider verzuimbenchmark zorg sinds 1996 met data en analyses.,vernet verzuim benchmark zorg,WebSearch,C
21,arboportaal.nl,C2|C12,4,0.755,HIGH (DR 60+),estimated,2026-04-20,https://www.arboportaal.nl/actueel/nieuws/2026/04/20/burn-outklachten-onder-werknemers-blijven-toenemen,Burn-outklachten onder werknemers blijven toenemen,arbo,"Werkgevers, arbo-professionals en HR die officiële Rijksoverheids-arbo-informatie zoeken (NEA-cijfers, regelgeving, beleid).",Rijksoverheid arbo-portaal met actuele burn-out content (NEA 2025) en duidelijke autoriteit — gastpublicaties zelden maar wel verwijzingen naar externe experts mogelijk.,Wetenschappelijke onderbouwing van zenuwstelsel-regulatie als preventieve interventie bij burn-outcijfers uit NEA 2025.,pitch via redactie,niet gevonden,Officieel arbo-kennisportal van Rijksoverheid met magazines en externe bronnen.,arbo vakblad gastartikel,WebSearch,B
22,binnenlandsbestuur.nl,C7,4,0.755,HIGH (DR 60+),estimated,2026-05-20,https://www.binnenlandsbestuur.nl/carriere/vakbondsleden-stemmen-massaal-in-met-cao-rijk,Vakbondsleden stemmen massaal in met cao rijk,HR,"Bestuurders, ambtenaren en HR-professionals bij gemeenten, provincies en rijksoverheid.",Toonaangevend vakmedium voor publieke sector met carriere- en HR-secties; relevante doelgroep voor stress/verzuim-content en mogelijk open voor expertbijdragen.,Werkdruk en burn-out bij ambtenaren: hoe overheidsorganisaties zenuwstelselregulatie als preventielaag inzetten.,pitch via redactie,niet gevonden,Vakmedium voor overheid met partnercontent over inkomenszekerheid en HR.,inkomensverzekeraar blog werkgever,WebSearch,F
23,fme.nl,C15,4,0.755,HIGH (DR 60+),estimated,2026-04-16,https://www.fme.nl/kennis-en-advies/fme-verenigingszaken/ledenvoordeel/event-gesprek-over-vitaliteit-op-donderdag-16,Event 'In gesprek over vitaliteit' op donderdag 16 april 2026 | FME,HR,HR-managers en werkgevers in de Nederlandse technologische industrie (FME-leden).,Werkgeversorganisatie met actieve vitaliteits/verzuim-content en HR-toolkit (STERK); sterke autoriteit en geschikte doelgroep voor expertbijdragen.,Vitaliteit in de technologische industrie: zenuwstelselregulatie als concreet onderdeel van strategische personeelsplanning.,pitch via redactie,niet gevonden,Werkgeversorganisatie technologische industrie met STERK Toolkit en HR-content.,Metaalunie FME industrie werkgever,WebSearch,F
24,poraad.nl,C15,4,0.755,HIGH (DR 60+),estimated,2026-06-03,https://www.poraad.nl/po-academie/strategisch-hr-start-3-juni-2026-3-juni-2026,Strategisch HR – start 3 juni 2026 (PO-Academie),onderwijs,"Schoolbestuurders, HR-managers en directeuren in het primair onderwijs.","Sectororganisatie met sterke autoriteit binnen PO; expliciete focus op werkdruk, CAO en strategisch HR; passend voor verzuim/burn-outpitch onderwijs.",Werkdruk in het PO structureel verlagen: zenuwstelsel-regulatie als praktische tool voor schoolleiders en leerkrachten.,pitch via redactie,niet gevonden,PO-Raad sectororganisatie primair onderwijs met dossiers over werkdruk en strategisch HR.,onderwijs HR blog NL,WebSearch,C
25,coachlink.nl,C8,5,0.745,MEDIUM (DR 30-60),estimated,2026,https://www.coachlink.nl/actueel/nieuws/,Nieuws - Coachlink.nl (lopende reeks evenementen 2026),coach,Professionele coaches en HRD-professionals; NOBCO-gerelateerd platform voor vakontwikkeling.,Vakplatform voor coaches met expliciete redactie en first impression noemt inzendmogelijkheid via redactie@coachlink.nl — directe pitch-route.,Polyvagale theorie in coaching: hoe coaches zenuwstelselregulatie inzetten bij stress- en burn-out-trajecten.,pitch via redactie,niet gevonden,Online vakdatabase NOBCO met open inzendmogelijkheid via redactie@coachlink.nl.,NOBCO coachlink artikel publicatie,WebSearch,F
26,trendsinhr.nl,C6,5,0.745,MEDIUM (DR 30-60),estimated,2026,https://www.trendsinhr.nl/dit-zijn-de-hr-trends-voor-2026/,Dit zijn de HR-trends voor 2026,HR,"HR-managers, HRD'ers en leidinggevenden gericht op strategische workforce planning, talent en arbeidsvoorwaarden.","HR-trends-magazine met directe focus op 2026 thema's (duurzame inzetbaarheid, retentie); top match en logische publicatieplek.",HR-trend 2026: zenuwstelsel-regulatie als nieuwe pijler onder duurzame inzetbaarheid en retentie.,pitch via redactie,niet gevonden,Onderzoeksplatform met magazine over HR-trends in Nederland,ondernemerstijdschrift Nederland HR personeel artikel,WebSearch,E
27,bgmagazine.nl,C3|C4,5,0.73,HIGH (DR 60+),estimated,2025-08-26,https://bgmagazine.nl/,Gratis inkoopgids arbodienst,bedrijfsarts,"HRM-professionals, bedrijfsartsen, casemanagers en re-integratiespecialisten — circa 15.000 wekelijkse lezers in occupational health.",Toonaangevend vakmagazine voor HRM/arbo/verzuim/PSA met directe overlap met zenuwstelsel-thematiek — top prioriteit voor outreach.,Zenuwstelsel-regulatie als brug tussen bedrijfsarts en HR-manager bij langdurig verzuim en burn-out preventie.,pitch via redactie,niet gevonden,BG Magazine - Next level HR met re-integratie en bedrijfsgeneeskunde content.,bedrijfsarts HR magazine,WebSearch,E
28,nvab-online.nl,C3|C8,5,0.73,HIGH (DR 60+),estimated,2025-09,https://nvab-online.nl/actueel/centrale-aanmeldprocedure-bedrijfsartsopleiding-van-start/,Centrale aanmeldprocedure bedrijfsartsopleiding van start,bedrijfsarts,Bedrijfsartsen (i.o.) en arboprofessionals; richtlijnontwikkeling en beroepsstandaarden.,Beroepsvereniging bedrijfsartsen — directe doelgroep en autoriteit voor verzuim-/burn-outinhoud; richtlijnen en BG-dagen als publicatiekanalen.,Zenuwstelsel-regulatie als evidence-informed onderdeel van bedrijfsgeneeskundige adviezen bij verzuim met stress-/burn-outcomponent.,pitch via redactie,niet gevonden,Beroepsvereniging bedrijfsartsen NVAB; richtlijnen en actueel-sectie.,NVAB publicatie,WebSearch,D
29,openup.com,C14|C15|C11,5,0.73,HIGH (DR 60+),estimated,2025-2026,https://openup.com/nl/blog/signalering-overspanning-zorg/,Signalering overspanning zorg: tools voor vroege detectie,HR,HR-managers en werkgevers die mentale welzijn-platforms inzetten voor medewerkers in NL en internationaal.,Internationaal mentaal welzijn-platform met hoge DR en sterk NL-werkgevers-blog; perfecte thematische match.,Vroege signalering van overspanning: zenuwstelsel-markers die HR en mentaal welzijn-platforms moeten kennen.,pitch via redactie,niet gevonden,Internationaal mentaal welzijn platform met grote NL blog voor werkgevers.,OpenUp werkgever blog,WebSearch,E
30,rendement.nl,C4|C6|C15|C12,5,0.73,HIGH (DR 60+),estimated,2025-2026,https://www.rendement.nl/verzuim/nieuws/verzuim-door-stressklachten-hoger-bij-vrouwen.html,Verzuim door stressklachten hoger bij vrouwen,HR,"HR-, arbo-, salaris-, fiscaal- en juridisch-professionals in Nederland; breed praktijkvakblad voor MKB.",Rendement is een van de grootste NL-praktijkvakbladen met aparte Arbo/Verzuim-redactie en partnerartikelen ('Psychisch verzuim grootste risico'); perfect kanaal en doelgroep.,Psychisch verzuim als grootste risico in 2026: hoe zenuwstelsel-regulatie HR helpt om dit beheersbaar te maken.,pitch via redactie,niet gevonden,Praktijkvakblad voor HR/arbo professionals met grote bereik.,vitaliteitsmanager blog,WebSearch,C
31,zorgvisie.nl,C1|C7|C12,5,0.73,HIGH (DR 60+),estimated,2025-2026,https://www.zorgvisie.nl/zo-halveerde-zorggroep-oude-en-nieuwe-land-het-verzuim/,Zo halveerde Zorggroep Oude en Nieuwe Land het verzuim,zorgprof,"Bestuurders, managers en HR in de Nederlandse zorgsector.",Toonaangevend zorgmanagement-vakblad met expliciete verzuim-case studies; sterke autoriteit en exacte HR-/bestuurders-doelgroep in zorg.,Hoe zorgwerkgevers in 2026 verzuim halveren via zenuwstelsel-regulatie — case-onderbouwde bijdrage voor bestuurders.,pitch via redactie,niet gevonden,Zorgmanagement vakblad gedeeld redactie met Skipr; HR-content voor zorgleidinggevenden.,Zorgvisie HR zorg,WebSearch,D
32,awvn.nl,C1|C4|C9,4,0.725,HIGH (DR 60+),estimated,2026,https://www.awvn.nl/cao/nieuws/arbeidsvoorwaardennota-2026-onzekere-tijden-vragen-om-passende-loonafspraken/,Arbeidsvoorwaardennota 2026,werkgever,"Werkgevers, HR-directies en CAO-onderhandelaars op zoek naar arbeidsvoorwaarden, wet- en regelgeving en duurzame inzetbaarheid.",Toonaangevende werkgeversvereniging met thema duurzame inzetbaarheid; sterk autoriteitsdomein voor HR-publiek.,Hoe werkgevers via zenuwstelsel-regulatie de stijgende PSA-claims onder de Arbeidsinspectie focus 2025-2026 kunnen voorkomen.,pitch via redactie,niet gevonden,Werkgeversvereniging AWVN met content over duurzame inzetbaarheid.,duurzame inzetbaarheid werkgevers,WebSearch,E
33,inspiratie.uwv.nl,C9,4,0.725,HIGH (DR 60+),estimated,2026,https://inspiratie.uwv.nl/,Verhalen waarmee je verder komt (platform),werkgever,"Werkgevers en HR-professionals die via UWV inspiratie zoeken over inclusief werkgeverschap, verzuim en re-integratie.",UWV-platform met hoge autoriteit en directe lezerschap werkgevers; perfecte match voor verzuim-thema.,WIA-instroom stijgt: hoe werkgevers via zenuwstelsel-regulatie psychisch verzuim kunnen voorkomen.,pitch via redactie,niet gevonden,Inspiratieplatform UWV voor werkgevers met artikelen over verzuim en werkgeverschap.,UWV Perspectief artikel werkgever,WebSearch,E
34,managementboek.nl,C6,4,0.725,HIGH (DR 60+),estimated,2026,https://www.managementboek.nl/magazine/actueel/23046/longlist-managementboek-van-het-jaar-2026,Longlist Managementboek van het Jaar 2026,HR,"Management-, HR- en leiderschapsprofessionals die boeken kopen en management-artikelen lezen (auteurs/recensies/longlists).","Toonaangevend NL platform voor management/leiderschap-boeken en artikelen — auteursprofielen en magazine-content, gastartikel mogelijk via redactie of boekuitgave.","Recensie/artikel rond zenuwstelsel-bewust leiderschap, mogelijk gekoppeld aan boekuitgave of expert-opinie.",pitch via redactie,niet gevonden,Boek- en kennisplatform met auteursprofielen rondom management en leiderschap,Sprout MT schrijf mee gastauteur,WebSearch,B
35,managementscope.nl,C6,4,0.725,HIGH (DR 60+),estimated,2026,https://managementscope.nl/en/essay/issues-agm-agenda-good-governance,Issues on the AGM's Agenda in 2025,ondernemer,"CEO's, CFO's, commissarissen en bestuurders van Nederlandse beursfondsen en grote ondernemingen.",Topplatform voor C-suite-content; gastauteurschap mogelijk maar redactie is selectief en thematiek vereist boardroom-niveau.,Waarom CHRO's en CEO's zenuwstelsel-regulatie als governance-onderwerp moeten omarmen — strategische verzuimkostenreductie.,pitch via redactie,niet gevonden,Vakblad voor managers directeuren en commissarissen,management vakblad Nederland schrijf mee bijdrage,WebSearch,D
36,onvz.nl,C7,4,0.725,HIGH (DR 60+),estimated,2026,https://www.onvz.nl/over-onvz/nieuws-en-pers/nieuws-en-persberichten/premiebekendmaking-2026,Premiebekendmaking 2026,werkgever,"Verzekerden, werkgevers met collectieve contracten en HR-/arbo-inkopers.","Zorgverzekeraar met werkgeverssectie; sterk autoritair domein, mits er bij Job Werkt-redactie ruimte is voor gastauteurs.",Vitaliteit en preventie via zenuwstelsel-regulatie als ROI-onderbouwing voor werkgevers met collectieve zorgverzekering.,pitch via redactie,niet gevonden,Werkgeverssectie 'Job Werkt' met blogs over vitaliteit en preventie voor werkgevers.,ONVZ werkgever content,WebSearch,D
37,personio.nl,C10,4,0.725,HIGH (DR 60+),estimated,2026,https://www.personio.nl/hr-woordenboek/aangifte-inkomstenbelasting/,De aangifte inkomstenbelasting: de ultieme gids voor 2026,HR,HR-managers en MKB-werkgevers die Personio HR-software gebruiken of overwegen; Europese HR-content op NL-site.,Grote Europese HR-software speler met sterk content-team en breed bereik onder HR-professionals; gastbijdrage-traditie deels via Personio Blog format.,Talent retention 2026: hoe zenuwstelsel-regulatie de leadership-skill is die data-driven HR aanvult.,pitch via redactie,niet gevonden,Personio NL blog met HR-statistieken en strategie-content,"""Personio"" Nederland blog HR",WebSearch,C
