domain,category,source_query,first_impression
managementsupport.nl,C6,management vakblad Nederland schrijf mee bijdrage,Vakblad voor management-support en secretariaat-professionals
managementboek.nl,C6,Sprout MT schrijf mee gastauteur,Boek- en kennisplatform met auteursprofielen rondom management en leiderschap
lerendeleiders.nl,C6,leiderschap blog Nederland gastauteur,Online community voor mensen die zich verdiepen in leiderschap
lmi-nl.com,C6,leiderschap blog Nederland gastauteur,LMI Nederland blog over effectief leiderschap en teammotivatie
vds.nl,C6,leiderschap blog Nederland gastauteur,VDS training met blog over leiderschap en teamontwikkeling
joelaerts.nl,C6,leiderschap blog Nederland gastauteur,Persoonlijke blog over leiderschap leren en ontwikkelen
egonbeaart.nl,C6,leiderschap blog Nederland gastauteur,Expert-blog over persoonlijk leiderschap
greatplacetowork.nl,C6,leiderschap blog Nederland gastauteur,Onderzoeksplatform met content over leiderschap en werkcultuur
ixly.com,C6,leiderschap blog Nederland gastauteur,Assessment-aanbieder met blog over leiderschap en HR-thema's
ncoi.nl,C6,leidinggeven blog Nederland artikel,Opleider met uitgebreide blog over management en leidinggeven
sn.nl,C6,leidinggeven blog Nederland artikel,Schouten Nelissen blog over nieuw leiderschap en menselijke kant van werk
bvo.nl,C6,leidinggeven blog Nederland artikel,Opleidingsblog over hierarchisch en functioneel leidinggeven
bewegingveroorzakers.nl,C6,leidinggeven blog Nederland artikel,Adviespraktijk met blog over leiderschapstheorie en praktijk
bestuursacademie.nl,C6,leidinggeven blog Nederland artikel,Bestuursacademie blog met content voor (startende) leidinggevenden
toolshero.nl,C6,MKB platform Nederland gastartikel HR,Nederlandse management-kennisbank met blogs over HR-systemen en theorie
leidinggeven.com,C6,leidinggeven blog Nederland artikel,Specialistenplatform over leidinggeven met praktische tips
denieuweleider.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachingsplatform met content over authentiek leiderschap
nonons.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachplatform met blog over leiderschapscoaching
tibor.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachingsblog over teamprestaties en leiderschap
hetteamlab.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Trainingsplatform met leiderschapscontent
banninkcoaching.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachingspraktijk-blog over rust en richting in leiderschap
leiderschapscoaching.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Specifiek platform rond leiderschapscoaching en veerkracht
organizeagile.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Agile-adviseur met blog over leiderschap en coaching
denkproducties.nl,C6,"""BNR"" OR ""Quote"" OR ""Forbes Nederland"" ondernemers business leiderschap",Eventorganisator met blog over werkgeluk leiderschap en MT-thema's
chro.nl,C6,CHRO MT magazine HR directeur Nederland,Platform van en voor CHRO's en HR-directeuren met magazine en interviews
tijdschriftvoorhrm.nl,C6,ondernemerstijdschrift Nederland HR personeel artikel,Peer reviewed vakblad over HRM in Nederland en Vlaanderen
hrpraktijk.nl,C6,ondernemerstijdschrift Nederland HR personeel artikel,Achtergrond-platform over HR-onderwerpen waaronder arbo en inzetbaarheid
pwnet.nl,C6,ondernemerstijdschrift Nederland HR personeel artikel,PW HR vakplatform voor HR-professionals
trendsinhr.nl,C6,ondernemerstijdschrift Nederland HR personeel artikel,Onderzoeksplatform met magazine over HR-trends in Nederland
performa-hr.nl,C10,"""AFAS"" blog werkgever HR personeel artikel",HR-vakplatform met interviews en blogs over werkgeverschap
vismaraet.nl,C10,"""Visma Raet"" blog gastauteur HR",Kennisbank met HR-blog en gastbijdragen van directie
visma.com,C10,"""Visma Raet"" blog gastauteur HR",Visma blog (NL) met content over digitale HR en hybride werken
youforce.nl,C10,"""Visma Raet"" blog gastauteur HR",HR & salarisplatform van Visma met werkgever-content
afas.nl,C10,"""AFAS"" blog werkgever HR personeel artikel",AFAS Software blog met artikelen over HR personeelshandboek en duurzaamheid
personio.nl,C10,"""Personio"" Nederland blog HR",Personio NL blog met HR-statistieken en strategie-content
personio.com,C10,"""Personio"" Nederland blog HR",Personio internationaal blog met NL-vertalingen over recruitment en performance
hibob.com,C10,"""HiBob"" Nederland blog HR",HiBob HR-blog (NL-talig) over engagement en cultuur vanuit Amsterdam HQ
recruitee.com,C10,"""Officient"" OR ""Recruitee"" blog NL gastauteur",Recruitee NL blog over werving employer branding en HR-trends
hrcommunity.nl,C10,"""Visma Raet"" blog gastauteur HR",NB reeds benaderd uitgesloten per instructie
hrmspot.nl,C10,HR-software vendor blog Nederland werkgever,Reviewplatform met inhoudelijke artikelen over HR-softwareleveranciers
hrnavigator.nl,C10,HR-software vendor blog Nederland werkgever,Vergelijkingsplatform met blogs over HRM-systemen en functionaliteiten
nmbrs.com,C10,HR-software vendor blog Nederland werkgever,Salaris- en HR-software met NL-blog voor werkgevers en accountants
fhris.nl,C10,verzuimsoftware blog Nederland werkgever,Aanbieder van HR- en verzuimregistratie-software met inhoudelijke blogs
fooks.nl,C10,verzuimsoftware blog Nederland werkgever,Verzuimsoftware-aanbieder met blog over verzuim op de werkvloer
othersideatwork.nl,C10,verzuimsoftware blog Nederland werkgever,Xpert Suite verzuimsoftware met klantverhalen en gedragsmatige visie op verzuim
fixs-verzuim.nl,C10,verzuimsoftware blog Nederland werkgever,Verzuimsoftware voor arbodienst en werkgever
bluevi.com,C10,verzuimsoftware blog Nederland werkgever,BlueVi blog over verzuimsoftware-keuzes voor werkgevers
dotweb.com,C10,verzuimsoftware blog Nederland werkgever,Dotweb blog over inrichting van verzuimsoftware
falkeverbaan.nl,C10,Yezzer Otherside Falke Verbaan verzuim blog Nederland,Toonaangevend bureau over gedragsmatige aanpak van verzuim met onderzoek-blog
appwiki.nl,C10,verzuimsoftware blog Nederland werkgever,Vergelijkingsplatform voor verzuim- en HR-software met redactionele content
exact.com,C10,"""Tellow"" OR ""Exact"" OR ""Yoobi"" ondernemers blog HR personeel",Exact Officient HR-platform met content voor MKB-werkgevers
yoobi.nl,C10,"""Tellow"" OR ""Exact"" OR ""Yoobi"" ondernemers blog HR personeel",Software voor uren verlof en HR met blog voor managers en HR
arbo-online.nl,C6,arbo vakblad Nederland gastartikel preventie werkgevers,Arbo Vakblad online met magazines over werkplek preventie en duurzame inzetbaarheid
rendement.nl,C6,arbo vakblad Nederland gastartikel preventie werkgevers,Vakplatform Rendement met dossier Arbo voor werkgevers en HR
