domain,category,source_query,first_impression,filter1_live_nl,filter2_recent_content,filter3_doelgroep_match,overall_pass,reason_if_failed,fetched_at
evr.nl,C4,mentaal welzijn werkvloer,Adviesbureau met nieuwsblog over verzuim en mentaal welzijn.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
fhris.nl,C10,verzuimsoftware blog Nederland werkgever,Aanbieder van HR- en verzuimregistratie-software met inhoudelijke blogs,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
fnv.nl,C15,FNV werkgever blog,FNV met uitgebreide content over werkdruk en burn-out voor sectoren en werkgevers.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
gezondinbedrijf.com,C7,Zilveren Kruis werkgevers blog,Business school voor verzuim & vitaliteit met blog gericht op HR en leidinggevenden.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
goudse.nl,C5,Nederlandse ondernemers magazine personeel verzuim,De Goudse verzekeraar met praktische tips voor MKB over verzuim,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
handboekarbeidengezondheid.nl,C12,vakblad arbeid en gezondheid Nederland,Handboek Arbeid & Gezondheid - autoriteitsbron rond werk-gezondheid.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
heart4happiness.nl,C16,polyvagaal blog Nederland,Coachingpraktijk met content over zenuwstelsel en stress.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
hoorayhr.io,C1|C16|C5,verzuim platform HR,All-in-one HR software voor MKB met verzuim/verlof content en blog.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
hrnavigator.nl,C2|C10,HR community blog verzuim,Praktisch HR-blog over verzuim met aandacht voor roze verzuim en burn-out signalering.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
icthealth.nl,C12,ICT Health Nederland artikel insturen,Vakblad zorginnovatie met laagdrempelig contact voor gastartikelen via redactie.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
interimworx.nl,C15,zorg HR blog Nederland,Detacheerder HR in de zorg met sectorinformatie.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
ixly.com,C6,leiderschap blog Nederland gastauteur,Assessment-aanbieder met blog over leiderschap en HR-thema's,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
kennisplatformfysiotherapie.nl,C8,KNGF fysiotherapie blog gastauteur,KNGF-richtlijnen platform met ruimte voor inhoudelijke vakinhoud.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
lad.nl,C15,SBOH huisarts bedrijfsarts,Landelijke vereniging artsen in dienstverband met cao- en HR-content voor zorg.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
lerendeleiders.nl,C6,leiderschap blog Nederland gastauteur,Online community voor mensen die zich verdiepen in leiderschap,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
loyalis.nl,C7,inkomensverzekeraar blog werkgever,Specialist inkomensverzekering met content voor werkgevers in zorg/bouw/onderwijs/overheid.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
managementstart.nl,C6,directeur platform Nederland artikel publiceren,Platform voor managers en directeuren met open uitnodiging om te publiceren,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
mensenverzuim.nl,C16,casemanagement verzuim,Mens-&-Verzuim platform met kennisbank casemanagement.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
mijnbedrijfszorg.nl,C11,mental coach blog NL stress werknemer,Bedrijfszorgplatform met mentaal welzijn voor medewerkers - aansluitende B2B-context.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
mkbdirect.nl,C2,arbodienst MKB,MKB-nieuwsplatform met arbodienst-content voor kleinere werkgevers.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
nalk.info,C8,beroepsvereniging psychosomatisch fysiotherapie,Nederlands Kennisnetwerk Aanhoudende Lichamelijke Klachten - inhoudelijke aansluiting psychosomatiek.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
nfp.kngf.nl,C8,beroepsvereniging psychosomatisch fysiotherapie,Beroepsverenging psychosomatisch fysiotherapeuten (NFP) - direct relevante doelgroep en kanaal.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
niped.nl,C4,mentaal welzijn werkgever,Preventief gezondheidsplatform met kennisbank over mentale klachten.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
nonons.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachplatform met blog over leiderschapscoaching,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
nvab-online.nl,C3|C8,NVAB publicatie,Beroepsvereniging bedrijfsartsen NVAB; richtlijnen en actueel-sectie.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
ondernemenmetpersoneel.nl,C5|C9,Nederlandse ondernemers magazine personeel verzuim,Specifiek platform voor werkgevers met content over verzuim en HR-trends,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
onderwijsvanmorgen.nl,C15,CNV Onderwijs HR blog,Onderwijsmedium met artikelen over werkdruk en werkgeluk.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
oprijk.nl,C4,vitaliteit werkgever blog,Bedrijfszorg-platform met content over vitaliteit en mentale gezondheid.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
performa-hr.nl,C14|C10,OpenUp werkgever blog,HR-platform dat interviews en gastbijdragen publiceert van mentale-welzijnpartijen.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
perspectief.eu,C16|C9,slaap werkgever blog,Adviesbureau met blog over impact van slaapproblemen op organisaties.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
prikvandezaak.nl,C4,vitaliteit werkgever blog,Werkgeversblog met content over fysieke en mentale gezondheid op werkvloer.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
psycholoog.nl,C11,psycholoog blog werkgever Nederland burn-out,Landelijk psychologenkanaal met blogs over burn-out en mentaal welzijn werknemer.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
qivi.nl,C16,burn-out preventie leidinggevenden,Coachbureau met blog gericht op leidinggevenden en burn-outpreventie.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
register-rsc.nl,C2|C8,RCMS register casemanagement,Register Specialistisch Casemanagement; centrale autoriteit voor casemanagers met PE-content.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
rochewood.nl,C2,casemanager opleiding,Kennisartikelen over opleidingen voor casemanagers en regiebehoeften.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
sazas.nl,C4,vitaliteit werkgever blog,Verzuimverzekeraar met uitgebreide kennisbank over vitaliteit en preventie.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
sensgezondheidszorg.nl,C16,psychosomatische fysiotherapie,Zorginstelling met informatieve content over psychosomatiek.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
smarthealth.works,C16,stress werkgever blog,Werkstress-platform met blog gericht op werkgevers.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
sprout.nl,C5,Sprout MT schrijf mee gastauteur,Platform van MT/Sprout voor ondernemers en scale-ups met redactie-input,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
stressvrijvoordeklas.nl,C15,CNV Onderwijs HR blog,Coachingblog voor leerkrachten met burn-out en stress.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
tempo-team.nl,C1|C16,burn-out werkgevers verzuim,Uitzendbureau met uitgebreide HR-kennisbank over burn-out en verzuim voor werkgevers.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
tijdschriftvoorhrm.nl,C1|C4|C6|C15|C13,HR vakblad gastblog,Wetenschappelijk HR-tijdschrift met peer-reviewed artikelen voor HR-professionals; accepteert ingezonden artikelen via redactie.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
transvorm.org,C15,Transvorm zorg arbeidsmarkt,Regionale werkgeversorganisatie zorg/welzijn Brabant met blogs en artikelen.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
unive.nl,C5,ondernemers blog Nederland verzuim,Verzekeraar met zakelijke blog over verzuim en CAO-vraagstukken,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
venvn.nl,C15,V&VN zorg HR blog,Beroepsvereniging V&VN met magazine en blogs over werkdruk en grenzen stellen in zorg.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
verzuimdynamiek.nl,C4,preventie werknemer blog,Verzuimspecialist met blog over preventie en time-out programma's.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
vitaliblij.nl,C7,Menzis werkgever vitaliteit blog,Blog gericht op vitaliteit binnen gemeenten en organisaties.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
vzinfo.nl,C12,vakblad arbeid en gezondheid Nederland,RIVM Volksgezondheid en Zorg info - autoriteitsplatform arbeid/gezondheid.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
werkpsycholoog.nl,C16,verzuim psychische klachten,Bedrijfspsychologenpraktijk met blog gericht op managers en HR.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
wijzerondernemen.nl,C5,ondernemers blog Nederland verzuim,Ondernemersblog met tips inclusief gastblog-mogelijkheden,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
wsprivierenland.nl,C9,WSP werkgeversservicepunt artikel,Regionaal WSP Rivierenland met blogartikelen over sociaal ondernemen.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
yoobi.nl,C10,"""Tellow"" OR ""Exact"" OR ""Yoobi"" ondernemers blog HR personeel",Software voor uren verlof en HR met blog voor managers en HR,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
zichtbaarnetwerken.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Ondernemersnetwerk met expliciete gastblog-mogelijkheid,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
zorggidsnederland.nl,C12,Nationale Zorggids artikel insturen,Alternatieve zorgportal met artikelsectie.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
zorgvisie.nl,C1|C7|C12,Zorgvisie HR zorg,Zorgmanagement vakblad gedeeld redactie met Skipr; HR-content voor zorgleidinggevenden.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
zw-connect.nl,C15,RegioPlus zorgwerkgever blog,Online platform zorg & welzijn met arbeidsmarkt- en HR-content.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
