domain,category,source_query,first_impression,filter1_live_nl,filter2_recent_content,filter3_doelgroep_match,overall_pass,reason_if_failed,fetched_at
chro.nl,C1|C6|C12,HR vakblad gastblog,Platform en magazine voor CHRO's en HR-directeuren; potentieel voor strategische bijdragen over verzuim en welzijn.,PASS,PASS,PASS,PASS,,2026-05-23T12:42:00Z
coaching.nl,C11,coaching platform Nederland gastauteur artikel,Landelijk coachingsplatform met artikelarchief en online tools - ruimte voor gastinhoud.,PASS,PASS,UNCLEAR,PASS,coaching-platform deels B2C maar ook coach/professional gericht,2026-05-23T12:42:00Z
compendiumgeneeskunde.nl,C3,bedrijfsgeneeskunde compendium,Naslagwerk over bedrijfsgeneeskunde voor medische professionals.,PASS,PASS,UNCLEAR,PASS,medisch naslagwerk gericht op artsen/studenten geneeskunde,2026-05-23T12:42:00Z
csrcentrum.nl,C16,burn-out bedrijfsarts blog,Specialistisch burn-outcentrum met inhoudelijke blog voor professionals.,PASS,PASS,PASS,PASS,,2026-05-23T12:42:00Z
defysiotherapeut.com,C16,psychosomatische fysiotherapie blog,Branche-platform fysio met blog over psychosomatische fysiotherapie.,PASS,PASS,FAIL,FAIL,B2C-patientenadvies zonder werkgevers-/HR-relevantie,2026-05-23T12:42:00Z
denormaalstezaak.nl,C1,XpertHR partners,Werkgeversnetwerk voor inclusief werkgeverschap; mogelijk relevant voor verzuim-preventie.,PASS,PASS,PASS,PASS,,2026-05-23T12:42:00Z
draai.nu,C2,RCMS casemanagement,RSC-portaal met content voor specialistisch casemanagers.,PASS,UNCLEAR,PASS,PASS,geen actuele blog/2025-content gevonden,2026-05-23T12:42:00Z
duurzaaminzetbaarheidcentrum.nl,C4,duurzame inzetbaarheid vakblad,Themaplatform duurzame inzetbaarheid voor werkgevers.,PASS,PASS,PASS,PASS,,2026-05-23T12:42:00Z
eprom.nl,C15,FNV werkgever blog,Bedrijf met blog over werkdruk en burn-outklachten als pandemie.,PASS,PASS,UNCLEAR,PASS,niche-bedrijfsblog; werkgevers-/HR-publiek niet helemaal helder,2026-05-23T12:42:00Z
ey.com,C4,mentaal welzijn werkgever,Adviesplatform met NL ondernemerscontent over mentaal welzijn (lage prioriteit).,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
fme.nl,C15,Metaalunie FME industrie werkgever,Werkgeversorganisatie technologische industrie met STERK Toolkit en HR-content.,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
gevoelszaken.nl,C11,mental coach blog NL stress werknemer,Coachingsblog rond gevoel en stress.,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
goingconcern.nl,C16,burn-out re-integratie blog,Re-integratiebureau met blog gericht op werkgevers en burn-outtrajecten.,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
habeoplus.nl,C13,master HRM blog Nederland onderzoek werk,Habeo+ (Avans-gerelateerd) blog met HRM-masterthema's.,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
hchealth.nl,C2|C14,verzuim burn-out impact,Specialist burn-out preventie met cijfers en impactartikelen voor werkgevers.,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
hightechsystems.nl,C15,Metaalunie FME industrie werkgever,Vakmedium high-tech industrie met artikelen over personeel en skills.,PASS,PASS,UNCLEAR,PASS,vakblad high-tech industrie; HR-content secundair maar wel werkgevers-publiek,2026-05-23T12:45:00Z
hrmorgen.nl,C1,HR community blog verzuim,HR-nieuws en opinieplatform met artikelen over burn-out en generatieproblematiek.,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
huisartsopleiding.nl,C15,SBOH huisarts bedrijfsarts,Huisartsopleiding Nederland met handreikingen over goed werkgeverschap.,PASS,UNCLEAR,UNCLEAR,UNCLEAR,gericht op huisartsopleiding (AIOS) en opleiders; werkgevers-relevantie indirect,2026-05-23T12:45:00Z
industrievandaag.nl,C15,industrie HR vakblad NL,Onafhankelijk platform met overzicht industrievakbladen en HR-nieuws.,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
isbw.nl,C13,HR opleiding blog Nederland kennisplatform,ISBW HRM-opleider met blog over korte HRM-trainingen.,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
jobport.nl,C2,verzuim platform schrijven,Platform voor loopbaan/verzuim/re-integratie diagnose en matching.,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
kock.nl,C15,onderwijs HR blog NL,Adviesbureau met blogs over beleidsrijk HR-beleid voortgezet onderwijs.,PASS,FAIL,PASS,FAIL,blog is gedateerd (2013); geen 2025/2026 content gevonden,2026-05-23T12:45:00Z
leiderschapscoaching.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Specifiek platform rond leiderschapscoaching en veerkracht,PASS,PASS,PASS,PASS,,2026-05-23T12:45:00Z
lmi-nl.com,C6,leiderschap blog Nederland gastauteur,LMI Nederland blog over effectief leiderschap en teammotivatie,PASS,UNCLEAR,PASS,PASS,zoekresultaten zonder duidelijke 2025-datum,2026-05-23T12:45:00Z
managementscope.nl,C6,management vakblad Nederland schrijf mee bijdrage,Vakblad voor managers directeuren en commissarissen,PASS,PASS,PASS,PASS,,2026-05-23T12:48:00Z
medischcontact.nl,C3|C12,bedrijfsgezondheidszorg artikel,Vakblad KNMG met blogs en opinies over bedrijfsgezondheidszorg en bedrijfsartsen.,PASS,PASS,PASS,PASS,,2026-05-23T12:48:00Z
metaalunie.nl,C15,Metaalunie FME industrie werkgever,Brancheorganisatie MKB-maakindustrie met content over goed werkgeverschap en HR.,PASS,PASS,PASS,PASS,,2026-05-23T12:48:00Z
mkb.nl,C5,"""MKB Servicedesk"" OR ""De Ondernemer"" gastauteur",MKB-Nederland brancheorganisatie met publicaties voor werkgevers,PASS,PASS,PASS,PASS,,2026-05-23T12:48:00Z
mtsprout.nl,C4|C6|C7,vitaliteitsmanager blog,Toonaangevend ondernemersmedium met artikelen over leiderschap en vitaliteit.,PASS,PASS,PASS,PASS,,2026-05-23T12:48:00Z
ned-personeel.nl,C15,industrie HR vakblad NL,Detacheerder maakindustrie met content over personeel.,PASS,PASS,UNCLEAR,PASS,detacheerder met content over uitzendwerk; HR-relevantie beperkt maar werkgevers-publiek,2026-05-23T12:50:00Z
nielsvansanten.nl,C16,polyvagaal Nederland blog,Therapeut/blogger over stress en polyvagaal theorie.,PASS,UNCLEAR,FAIL,FAIL,B2C-therapeutenblog over relaties/persoonlijke groei; geen werkgevers/HR-publiek,2026-05-23T12:50:00Z
nn.nl,C16|C5|C7,stress werkgever blog,Verzekeraar Nationale-Nederlanden met zakelijk blog over stress en verzuim.,PASS,PASS,PASS,PASS,,2026-05-23T12:50:00Z
nti.nl,C13,master HRM blog Nederland onderzoek werk,NTI Master HRM - opleider met blog-/contentcontext.,PASS,PASS,PASS,PASS,,2026-05-23T12:50:00Z
nvz-ziekenhuizen.nl,C15,zorg HR blog Nederland,Vereniging Nederlandse Ziekenhuizen met opinieartikelen over HR-beleid in zorg.,PASS,PASS,PASS,PASS,,2026-05-23T12:50:00Z
onderwijsacademie.nl,C15,onderwijs HR blog NL,Onderwijsacademie met blog over HRM en het onderwijs voor schoolleiders.,PASS,PASS,PASS,PASS,,2026-05-23T12:52:00Z
openup.com,C14|C15|C11,OpenUp werkgever blog,Internationaal mentaal welzijn platform met grote NL blog voor werkgevers.,PASS,PASS,PASS,PASS,,2026-05-23T12:52:00Z
oval.nl,C3|C4|C8,OVAL arbodienst,Brancheorganisatie arbodiensten met nieuws en checklists; thematische dossiers vitaliteit.,PASS,UNCLEAR,PASS,PASS,vitaliteit-kennisbank zonder duidelijk 2025-datum in resultaten,2026-05-23T12:52:00Z
personio.nl,C10,"""Personio"" Nederland blog HR",Personio NL blog met HR-statistieken en strategie-content,PASS,PASS,PASS,PASS,,2026-05-23T12:52:00Z
politiebond.nl,C7,inkomensverzekeraar blog werkgever,Vakbondsite politie met content over inkomensbescherming en vitaliteit.,PASS,PASS,UNCLEAR,PASS,vakbond gericht op werknemers (politie); werkgevers-relevantie indirect,2026-05-23T12:52:00Z
profielen.hr.nl,C13,Hogeschool Rotterdam HRM blog,Onafhankelijk nieuws Hogeschool Rotterdam met blogsectie.,PASS,PASS,UNCLEAR,PASS,studentenmagazine Hogeschool Rotterdam; HR-publiek beperkt aanwezig,2026-05-23T12:54:00Z
publiekdenken.nl,C9,A&O fonds Rijk blog,Online magazine voor publieke sector met content over A&O-fondsen.,PASS,PASS,PASS,PASS,,2026-05-23T12:54:00Z
recruitee.com,C10,"""Officient"" OR ""Recruitee"" blog NL gastauteur",Recruitee NL blog over werving employer branding en HR-trends,PASS,PASS,PASS,PASS,,2026-05-23T12:54:00Z
rivm.nl,C4,preventie werknemer blog,Overheidskennisinstituut met dossier preventie op werk.,PASS,PASS,PASS,PASS,,2026-05-23T12:54:00Z
samennaarresultaat.nl,C11,mental coach blog NL stress werknemer,Coach voor leidinggevenden met werkstresscontent - past bij HR-thema.,PASS,PASS,PASS,PASS,,2026-05-23T12:54:00Z
schoonmakendnederland.nl,C4,arbodienst kennisbank vitaliteit,Brancheplatform schoonmaak met kennisbankartikelen incl. gastbijdragen vitaliteit.,PASS,PASS,PASS,PASS,,2026-05-23T12:56:00Z
skipr.nl,C1|C4|C12,Skipr werk HR zorg,Zorgmanagement platform met HR/personeelsinzet blogs; raakt bedrijfsgezondheidszorg in zorg.,PASS,PASS,PASS,PASS,,2026-05-23T12:56:00Z
sociaalweb.nl,C12,Zorg en Welzijn vakblad publicatie auteur,PONT Zorg & Sociaal kennisplatform met magazines - sociaal-zorgaudience.,PASS,PASS,PASS,PASS,,2026-05-23T12:56:00Z
stichting-leerkracht.nl,C15,onderwijs HR blog NL,Stichting voor onderwijs met kennisbank-artikelen over strategisch HRM in onderwijs.,PASS,PASS,PASS,PASS,,2026-05-23T12:56:00Z
team-hr.nl,C5,MKB platform Nederland gastartikel HR,HR-adviesbureau voor MKB met content over personeelsstrategie,PASS,PASS,PASS,PASS,,2026-05-23T12:56:00Z
tibor.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachingsblog over teamprestaties en leiderschap,PASS,PASS,PASS,PASS,,2026-05-23T12:58:00Z
trainingsbureauvoormindfulness.nl,C16,mindfulness werkgever,Mindfulness-trainingsbureau met werkgeverscontent.,PASS,FAIL,PASS,FAIL,bureau gestopt in 2024; geen actuele content,2026-05-23T12:58:00Z
ttifenarbo.nl,C2,arbodienst werkgever,Arbodienst met blog over wat een arbodienst doet voor werkgevers.,PASS,UNCLEAR,PASS,PASS,arbodienst-blog zonder duidelijke 2025-datum in resultaten,2026-05-23T12:58:00Z
vds.nl,C6,leiderschap blog Nederland gastauteur,VDS training met blog over leiderschap en teamontwikkeling,PASS,PASS,PASS,PASS,,2026-05-23T12:58:00Z
verzekerverzuim.nl,C16,casemanager verzuim,Verzuimplatform met kennisbank rond casemanagement.,PASS,UNCLEAR,PASS,PASS,kennisbank zonder duidelijke 2025-datum in resultaten,2026-05-23T12:58:00Z
vitaalarbo.nl,C2|C4,arbeidsdeskundige blog,Arbodienst met blog over arbeidsdeskundig onderzoek.,PASS,PASS,PASS,PASS,,2026-05-23T13:00:00Z
volandis.nl,C9,SER blog werkgever Nederland,Kenniscentrum duurzame inzetbaarheid bouw & infra met blog over verzuimpreventie.,PASS,PASS,PASS,PASS,,2026-05-23T13:00:00Z
werkeninfriesland.nl,C9,A&O fonds Rijk blog,Regionaal arbeidsmarktplatform met artikelen over werkgeverschap.,PASS,PASS,UNCLEAR,PASS,vacaturesite met content gericht op werknemers; werkgevers-blog beperkt,2026-05-23T13:00:00Z
wgvzorgenwelzijn.nl,C15,SectorplanPlus zorg welzijn,Werkgeversvereniging zorg & welzijn Oost-Nederland met nieuwsartikelen.,PASS,PASS,PASS,PASS,,2026-05-23T13:00:00Z
wspgrootamsterdam.nl,C9,WSP werkgeversservicepunt artikel,Werkgeversservicepunt Amsterdam met artikelen over inclusief werkgeverschap.,PASS,PASS,PASS,PASS,,2026-05-23T13:00:00Z
xperthractueel.nl,C1|C13,XpertHR kennisplatform,Actueel deel van XpertHR met nieuws en specialistische HR-content.,PASS,UNCLEAR,PASS,PASS,zoekresultaten zonder duidelijke 2025-datum maar actief HR-platform,2026-05-23T13:02:00Z
zakelijkgroeien.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Platform voor zzp en ondernemers met ondernemers-content,PASS,PASS,PASS,PASS,,2026-05-23T13:02:00Z
zorgaanzet.org,C15,SectorplanPlus zorg welzijn,Regionaal werkgeversverband zorg Limburg met blog over personeelsbehoud.,PASS,PASS,PASS,PASS,,2026-05-23T13:02:00Z
zorgmasters.nl,C3,bedrijfsgezondheidszorg platform,Platform Zorgmasters met kennisartikelen over bedrijfsgezondheidszorg.,PASS,PASS,PASS,PASS,,2026-05-23T13:02:00Z
zorgwijzer.nl,C7,zorgverzekeraar werkgever content,Vergelijkingssite met content over zorgverzekeraars in Nederland.,PASS,PASS,FAIL,FAIL,B2C-vergelijkingssite voor consumenten; geen werkgevers/HR-publiek,2026-05-23T13:02:00Z
