domain,category,source_query,first_impression
zorgvisie.nl,C1,Zorgvisie HR zorg,Zorgmanagement vakblad gedeeld redactie met Skipr; HR-content voor zorgleidinggevenden.
npdi.nl,C2,duurzame inzetbaarheid platform,Nationaal Platform Duurzame Inzetbaarheid; kennisnetwerk met HR/DI focus.
duurzameinzetbaarheid.nl,C2,duurzame inzetbaarheid platform,Kennisportal duurzame inzetbaarheid met praktijkvoorbeelden en interventies.
awvn.nl,C1,duurzame inzetbaarheid werkgevers,Werkgeversvereniging AWVN met content over duurzame inzetbaarheid.
berenschot.nl,C1,duurzame inzetbaarheid artikel,Adviesbureau met inhoudelijke artikelen over duurzame inzetbaarheid en HR.
centraalbeheer.nl,C1,duurzame inzetbaarheid blog,Verzekeraar zakelijke blog met Lekker Bezig programma over duurzame inzetbaarheid.
zilverenkruis.nl,C1,duurzame inzetbaarheid wetenschap,Zorgverzekeraar met zakelijke blog over wetenschap achter inzetbaarheid en KOBA-DI.
afas.nl,C1,duurzame inzetbaarheid kennisbank,AFAS blog/kennisbank met HR en duurzame inzetbaarheid content.
nestor.nl,C2,platform duurzame inzetbaarheid,Platform Duurzame Inzetbaarheid met content voor oudere werknemers.
tempo-team.nl,C1,burn-out werkgevers verzuim,Uitzendbureau met uitgebreide HR-kennisbank over burn-out en verzuim voor werkgevers.
