domain,category,source_query,first_impression
expertiseorgaan.nl,C2,arbeidsdeskundig onderzoek,Praktijkblog over arbeidsdeskundig onderzoek; B2B doelgroep.
fme.nl,C15,Metaalunie FME industrie werkgever,Werkgeversorganisatie technologische industrie met STERK Toolkit en HR-content.
gezondeboel.nl,C14,mental health benefit platform NL,Online welzijnsplatform met B2B aanbod voor werkgevers.
goudse.nl,C5,Nederlandse ondernemers magazine personeel verzuim,De Goudse verzekeraar met praktische tips voor MKB over verzuim
hartenweg.nl,C16,polyvagaal theorie blog,Praktijkblog over polyvagaal theorie en lichaamswerk.
hibob.com,C10,"""HiBob"" Nederland blog HR",HiBob HR-blog (NL-talig) over engagement en cultuur vanuit Amsterdam HQ
hrmorgen.nl,C1,HR community blog verzuim,HR-nieuws en opinieplatform met artikelen over burn-out en generatieproblematiek.
hva.nl,C13,master HRM blog Nederland onderzoek werk,Hogeschool van Amsterdam met HRM opleiding en onderzoekspublicaties.
interimworx.nl,C15,zorg HR blog Nederland,Detacheerder HR in de zorg met sectorinformatie.
jehcoaching.nl,C11,coach federatie Nederland blog,Coachingsblog met inhoudelijke artikelen over ICF en coachvak.
knmg.nl,C3,bedrijfsgeneeskunde KNMG,Koepel Nederlandse artsenorganisaties; nieuws en standpunten over bedrijfsartsen.
leiderschapscoaching.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Specifiek platform rond leiderschapscoaching en veerkracht
loi.nl,C13,master HRM blog Nederland onderzoek werk,LOI HRM-master - opleider met content over HRM.
managementstart.nl,C6,directeur platform Nederland artikel publiceren,Platform voor managers en directeuren met open uitnodiging om te publiceren
mentalcoaching.nl,C11,mental coach blog NL stress werknemer,Praktijk gericht op stress en vastlopen op werk - aansluitend doelgroep.
ministerievaninzetbaarheid.nl,C1,HR werkgeluk tools,Blog/platform over werkgeluk-onderzoek en HR-tools voor inzetbaarheid.
mtsprout.nl,C4|C6|C7,vitaliteitsmanager blog,Toonaangevend ondernemersmedium met artikelen over leiderschap en vitaliteit.
nestor.nl,C2,platform duurzame inzetbaarheid,Platform Duurzame Inzetbaarheid met content voor oudere werknemers.
niped.nl,C4,mentaal welzijn werkgever,Preventief gezondheidsplatform met kennisbank over mentale klachten.
npdi.nl,C2,duurzame inzetbaarheid platform,Nationaal Platform Duurzame Inzetbaarheid; kennisnetwerk met HR/DI focus.
nvvg.nl,C3,bedrijfsgeneeskunde vakblad,Nederlandse Vereniging voor Verzekeringsgeneeskunde; mede-uitgever TBV.
onderwijsacademie.nl,C15,onderwijs HR blog NL,Onderwijsacademie met blog over HRM en het onderwijs voor schoolleiders.
operatiefrissepeper.nl,C9,SER blog werkgever Nederland,Initiatief rond duurzame inzetbaarheid met praktische voorbeelden.
performa-hr.nl,C14|C10,OpenUp werkgever blog,HR-platform dat interviews en gastbijdragen publiceert van mentale-welzijnpartijen.
pggm.nl,C7,vernet verzuim benchmark zorg,Pensioenuitvoerder zorg met persberichten en publicaties over verzuim in de zorgsector.
probaat.nu,C15,CNV Onderwijs HR blog,Werkgeluk-platform met thema-artikelen over werkstress en burn-out per sector.
publiekdenken.nl,C9,A&O fonds Rijk blog,Online magazine voor publieke sector met content over A&O-fondsen.
regioplus.nl,C15,RegioPlus zorgwerkgever blog,Samenwerking regionale werkgeversorganisaties zorg & welzijn met blog over personeel.
rochewood.nl,C2,casemanager opleiding,Kennisartikelen over opleidingen voor casemanagers en regiebehoeften.
sboh.nl,C15,SBOH huisarts bedrijfsarts,Werkgever van artsen in opleiding met content over arbozaken en preventief spreekuur.
shiftbase.com,C5,HR-software vendor blog Nederland werkgever,Workforce-management tool met uitgebreide NL blog over HR-platformen
sociaalweb.nl,C12,Zorg en Welzijn vakblad publicatie auteur,PONT Zorg & Sociaal kennisplatform met magazines - sociaal-zorgaudience.
stigas.nl,C4|C15,vitaliteit werkgever blog,Arbo-organisatie voor groene sector met vitaliteitscontent voor werkgevers.
tempo-team.nl,C1|C16,burn-out werkgevers verzuim,Uitzendbureau met uitgebreide HR-kennisbank over burn-out en verzuim voor werkgevers.
toolshero.nl,C1|C6,HR systemen casemanagement,Managementmodellen-platform met content over HR en casemanagement.
trimbos.nl,C4|C12,Trimbos mentaal werkplek,Kennisinstituut mentale gezondheid met sterke blogsectie over werk en welzijn.
vds.nl,C6,leiderschap blog Nederland gastauteur,VDS training met blog over leiderschap en teamontwikkeling
verzuimapplicatie.nl,C2,verzuim platform,Verzuimsoftware-aanbieder met informatieve content.
vitaliblij.nl,C7,Menzis werkgever vitaliteit blog,Blog gericht op vitaliteit binnen gemeenten en organisaties.
waarderpolder.nl,C9,WSP werkgeversservicepunt artikel,Bedrijventerrein-platform met artikelen over inclusief werkgeverschap.
werktijden.nl,C16,werkstress blog,Software/HR-platform met blog over werkstress en planning.
wspgrootamsterdam.nl,C9,WSP werkgeversservicepunt artikel,Werkgeversservicepunt Amsterdam met artikelen over inclusief werkgeverschap.
yezzer.nl,C5,ondernemers blog Nederland verzuim,Blog van verzuim-experts met praktische artikelen over verzuimgesprekken
zichtbaarnetwerken.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Ondernemersnetwerk met expliciete gastblog-mogelijkheid
zorginstituutnederland.nl,C12,zorgmagazine vakblad B2B Nederland,Officieel Zorginstituut met magazine - autoriteitsplatform.
zorgwelzijn.nl,C12,Zorg en Welzijn vakblad publicatie auteur,Vakblad Zorg+Welzijn voor sociaal-zorgprofessionals met magazine en webartikelen.
