domain,category,source_query,first_impression
eprom.nl,C15,FNV werkgever blog,Bedrijf met blog over werkdruk en burn-outklachten als pandemie.
falkeverbaan.nl,C10,Yezzer Otherside Falke Verbaan verzuim blog Nederland,Toonaangevend bureau over gedragsmatige aanpak van verzuim met onderzoek-blog
fnv.nl,C15,FNV werkgever blog,FNV met uitgebreide content over werkdruk en burn-out voor sectoren en werkgevers.
ggznieuws.nl,C4,mentaal welzijn werkvloer,Nieuwsplatform GGZ met regelmatig artikelen over werk en mentale gezondheid.
gvmwerkt.nl,C2,arbeidsdeskundige blog,Arbeidsdeskundigen-blog met focus op balans tussen werk en herstel.
hchealth.nl,C2|C14,verzuim burn-out impact,Specialist burn-out preventie met cijfers en impactartikelen voor werkgevers.
hogeschoolrotterdam.nl,C13,Hogeschool Rotterdam HRM blog,Hogeschool Rotterdam met HRM-opleiding en nieuwskanalen.
hrnavigator.nl,C2|C10,HR community blog verzuim,Praktisch HR-blog over verzuim met aandacht voor roze verzuim en burn-out signalering.
ikgastarten.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",KvK-platform voor startende ondernemers met startersverhalen
isamupsychologen.nl,C11,psycholoog blog werkgever Nederland burn-out,Psychologenpraktijk met inhoudelijke burn-outblogs over herstelmythen.
jobport.nl,C2,verzuim platform schrijven,Platform voor loopbaan/verzuim/re-integratie diagnose en matching.
koningscoaching.nl,C11,psychosomatiek blog Nederland werk gezondheid,Coachingsblog met expliciete psychosomatiek-uitleg.
lerendeleiders.nl,C6,leiderschap blog Nederland gastauteur,Online community voor mensen die zich verdiepen in leiderschap
managementboek.nl,C6,Sprout MT schrijf mee gastauteur,Boek- en kennisplatform met auteursprofielen rondom management en leiderschap
matchvermogen.nl,C2,arbeidsdeskundige blog,Arbeidsdeskundig blog over duurzame inzetbaarheid en sociale zekerheid.
metaalunie.nl,C15,Metaalunie FME industrie werkgever,Brancheorganisatie MKB-maakindustrie met content over goed werkgeverschap en HR.
mkbasics.nl,C3,bedrijfsgezondheidszorg MKB,Arbodienst voor MKB met nieuws en eventsectie over bedrijfsgezondheidszorg.
nalk.info,C8,beroepsvereniging psychosomatisch fysiotherapie,Nederlands Kennisnetwerk Aanhoudende Lichamelijke Klachten - inhoudelijke aansluiting psychosomatiek.
niceday.app,C14,Niceday burn-out blog,Coaching/therapie app met kennisbank over burn-out en re-integratie.
nmbrs.com,C10,HR-software vendor blog Nederland werkgever,Salaris- en HR-software met NL-blog voor werkgevers en accountants
nti.nl,C13,master HRM blog Nederland onderzoek werk,NTI Master HRM - opleider met blog-/contentcontext.
nyenrode.nl,C13,HR opleiding blog Nederland kennisplatform,Nyenrode executive HR & verandermanagement - autoriteitsplatform academisch HR.
onderwijsvanmorgen.nl,C15,CNV Onderwijs HR blog,Onderwijsmedium met artikelen over werkdruk en werkgeluk.
organizeagile.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Agile-adviseur met blog over leiderschap en coaching
personio.com,C10,"""Personio"" Nederland blog HR",Personio internationaal blog met NL-vertalingen over recruitment en performance
politiebond.nl,C7,inkomensverzekeraar blog werkgever,Vakbondsite politie met content over inkomensbescherming en vitaliteit.
psychologiemagazine.nl,C11,Psychologie Magazine schrijven gastauteur,Toonaangevend consumentenblad psychologie - accepteert journalistieke proposals via redactie.
qivi.nl,C16,burn-out preventie leidinggevenden,Coachbureau met blog gericht op leidinggevenden en burn-outpreventie.
remplooi.nl,C9,UWV Perspectief artikel werkgever,Re-integratiebedrijf met blogs over verzuimprotocol en HR-praktijk.
ruudmeulenberg.nl,C2|C15|C11,HR community verzuim burn-out,Adviseursblog gericht op HR voor langdurig verzuim en burn-out reductie.
schoonmakendnederland.nl,C4,arbodienst kennisbank vitaliteit,Brancheplatform schoonmaak met kennisbankartikelen incl. gastbijdragen vitaliteit.
slaapwaarde.nl,C16,slaap nachtwerk blog,Slaapadviesplatform met content over slapen en werk.
sprout.nl,C5,Sprout MT schrijf mee gastauteur,Platform van MT/Sprout voor ondernemers en scale-ups met redactie-input
svland.nl,C16,casemanagement ziekteverzuim,Verzuimspecialist met kennisbank casemanagement effectief verzuim.
thuisinjelijf.net,C16,polyvagaal therapie blog,Lichaamsgerichte psychotherapiepraktijk met polyvagaal blogcontent.
trainingsbureauvoormindfulness.nl,C16,mindfulness werkgever,Mindfulness-trainingsbureau met werkgeverscontent.
uitgedokterd.nl,C2,register casemanager,Kennisbank over (register)casemanagers en re-integratie.
venvn.nl,C15,V&VN zorg HR blog,Beroepsvereniging V&VN met magazine en blogs over werkdruk en grenzen stellen in zorg.
visma.com,C10,"""Visma Raet"" blog gastauteur HR",Visma blog (NL) met content over digitale HR en hybride werken
vo-raad.nl,C15,onderwijs HR blog NL,Sectororganisatie voortgezet onderwijs met nieuws over werkstress en personeelsbeleid.
werkeninfriesland.nl,C9,A&O fonds Rijk blog,Regionaal arbeidsmarktplatform met artikelen over werkgeverschap.
wij-leren.nl,C15,onderwijs HR blog NL,Onderwijskennisbank met begrippenpagina's over HRM.
wsprivierenland.nl,C9,WSP werkgeversservicepunt artikel,Regionaal WSP Rivierenland met blogartikelen over sociaal ondernemen.
youforce.nl,C10,"""Visma Raet"" blog gastauteur HR",HR & salarisplatform van Visma met werkgever-content
zn.nl,C7,zorgverzekeraar werkgever content,Brancheorganisatie Zorgverzekeraars Nederland met beleidscontent.
zorgmasters.nl,C3,bedrijfsgezondheidszorg platform,Platform Zorgmasters met kennisartikelen over bedrijfsgezondheidszorg.
zorgzijnwerkt.nl,C15,SectorplanPlus zorg welzijn,Regionaal werkgeversverband Haaglanden zorg met arbeidsmarktcontent.
