domain,category,source_query,first_impression
mettom.nl,C2,arbodienst werkgever blog,Arbodienst-blog over verplichtingen voor werkgevers.
mkbasics.nl,C3,bedrijfsgezondheidszorg MKB,Arbodienst voor MKB met nieuws en eventsectie over bedrijfsgezondheidszorg.
mybusinessmedia.nl,C15,industrie HR vakblad NL,Uitgever van industriebladen en HR-titels.
nestor.nl,C2,platform duurzame inzetbaarheid,Platform Duurzame Inzetbaarheid met content voor oudere werknemers.
nip.nl,C8,NIP psychologie publicatie auteur,Grootste beroepsvereniging psychologen NL met publicatiestromen rond werk en welzijn.
nobco.nl,C8,NOBCO coaching blog Nederland,Grootste beroepsvereniging coaches NL met e-magazine Coach voor gastbijdragen.
ntvg.nl,C3,bedrijfsgeneeskunde NTVG,Nederlands Tijdschrift voor Geneeskunde met artikelen over bedrijfsgeneeskunde.
nyenrode.nl,C13,HR opleiding blog Nederland kennisplatform,Nyenrode executive HR & verandermanagement - autoriteitsplatform academisch HR.
onderwijscommunity.nl,C15,CNV Onderwijs HR blog,Community-site onderwijs met artikelen over burn-out en strategisch HR in onderwijs.
operatiefrissepeper.nl,C9,SER blog werkgever Nederland,Initiatief rond duurzame inzetbaarheid met praktische voorbeelden.
overkwaliteitvanzorg.nl,C12,Qruxx Zorg artikel publicatie,Platform Kwaliteit in Zorg met openbare auteursinformatie voor inzendingen.
perspectief-adviesgroep.nl,C9,UWV Perspectief artikel werkgever,Adviesgroep voor bedrijfsoptimalisatie en verzuim-/re-integratiebegeleiding.
poraad.nl,C15,onderwijs HR blog NL,PO-Raad sectororganisatie primair onderwijs met dossiers over werkdruk en strategisch HR.
psychologiemagazine.nl,C11,Psychologie Magazine schrijven gastauteur,Toonaangevend consumentenblad psychologie - accepteert journalistieke proposals via redactie.
pwnet.nl,C1|C6|C15|C13,HR vakblad gastblog,Grootste HR-platform van Nederland (voorheen PW de Gids); kennis en nieuws voor HR-professionals.
regioplus.nl,C15,RegioPlus zorgwerkgever blog,Samenwerking regionale werkgeversorganisaties zorg & welzijn met blog over personeel.
rnvc.nl,C8,casemanagement register Nederland blog verzuim,Beroepsvereniging casemanagers verzuim - directe link met HR/arbo-pitchthema.
samenvoordeklant.nl,C9,WSP werkgeversservicepunt artikel,Landelijk platform werkgeversservicepunten met content over arbeidsmarkt.
securex.nl,C15,zorg HR blog Nederland,HR-dienstverlener met blogs over HR-uitdagingen in de zorg.
slaapwaarde.nl,C16,slaap nachtwerk blog,Slaapadviesplatform met content over slapen en werk.
sociaalwerk-werkt.nl,C4,vitaliteit werkgever blog,Branche-platform sociaal werk met werkgeverstips rond vitaliteit.
stigas.nl,C4|C15,vitaliteit werkgever blog,Arbo-organisatie voor groene sector met vitaliteitscontent voor werkgevers.
teamiy.com,C15,industrie HR vakblad NL,HR-platform voor maakindustrie met oplossingen en blog.
tijdschriftdepsycholoog.nl,C8,NIP psychologie publicatie auteur,NIP-vakblad De Psycholoog accepteert auteursvoorstellen met wetenschappelijke onderbouwing.
trainjegelukscompetenties.nl,C1,HR werkgeluk,Werkgeluk-content voor HR managers; klein platform met gericht thema.
uitgedokterd.nl,C2,register casemanager,Kennisbank over (register)casemanagers en re-integratie.
veldhuisadvies.nl,C4|C5,vitaliteit werkgever blog,Adviesblog met focus op vitaliteit en duurzame inzetbaarheid voor werkgevers.
verzuimapplicatie.nl,C2,verzuim platform,Verzuimsoftware-aanbieder met informatieve content.
vitaalconcern.nl,C16,burn-out preventie blog,Vitaliteitsadviesbureau met blog over burn-out preventie medewerkers.
vvponline.nl,C7,inkomensverzekeraar blog werkgever,Vakmedium voor financieel adviseurs met artikelen over vroege interventies psychische klachten.
werkenveiligheid.nl,C2|C12,vitaliteit werk preventie,Kennisplatform over preventie RI&E en sociale veiligheid; vitaliteitsbeleid en duurzame inzetbaarheid.
wij-leren.nl,C15,onderwijs HR blog NL,Onderwijskennisbank met begrippenpagina's over HRM.
wspgv.nl,C9,WSP werkgeversservicepunt artikel,WSP Groot-Voorne met content over inclusief werkgeverschap.
yezzer.nl,C5,ondernemers blog Nederland verzuim,Blog van verzuim-experts met praktische artikelen over verzuimgesprekken
zakenwijzer.nl,C2|C4,arbodienst blog werkgever,Brede zakelijke blog met categorie arbodienst voor werkgevers.
zorgenwelzijnzhz.nl,C15,SectorplanPlus zorg welzijn,Regionaal werkgeversplatform Zuid-Holland-Zuid met nieuws zorg & welzijn.
zorgpleinnoord.nl,C15,RegioPlus zorgwerkgever blog,Regionaal werkgeversverband zorg Noord-Nederland met artikelen.
zorgzijnwerkt.nl,C15,SectorplanPlus zorg welzijn,Regionaal werkgeversverband Haaglanden zorg met arbeidsmarktcontent.
