domain,category,source_query,first_impression
fixs-verzuim.nl,C10,verzuimsoftware blog Nederland werkgever,Verzuimsoftware voor arbodienst en werkgever
gebouwschilnederland.nl,C9,bouw HR blog Nederland verzuim,Brancheorganisatie met tips & tools duurzame inzetbaarheid bouw.
gimd.nl,C16,burn-out werkgever blog,Bedrijfsmaatschappelijk werk-organisatie met HR-blog over burn-out.
gvmwerkt.nl,C2,arbeidsdeskundige blog,Arbeidsdeskundigen-blog met focus op balans tussen werk en herstel.
hays.nl,C4,corporate wellbeing blog,Recruiter met wellbeing-content gericht op werkgevers.
hibob.com,C10,"""HiBob"" Nederland blog HR",HiBob HR-blog (NL-talig) over engagement en cultuur vanuit Amsterdam HQ
hracademy.nl,C13,HR opleiding blog Nederland kennisplatform,HR Academy opleider HR-professionals met contentpotentie.
hsk.nl,C11,mental coach blog NL stress werknemer,HSK Groep - psychologische zorg en mental coaching voor werknemers met nieuwsblog.
imkopleidingen.nl,C1|C13,expertbijdrage HR,HR-opleider met artikelen en podcasts; kennisruimte voor HR-expertise.
isamupsychologen.nl,C11,psycholoog blog werkgever Nederland burn-out,Psychologenpraktijk met inhoudelijke burn-outblogs over herstelmythen.
jijbouweninfra.nl,C15,Goedopgeleidpersoneel bouw infra,Platform vakkrachten bouw & infra voor bedrijven.
knmg.nl,C3,bedrijfsgeneeskunde KNMG,Koepel Nederlandse artsenorganisaties; nieuws en standpunten over bedrijfsartsen.
leiderschapeninzetbaarheid.nl,C2|C16,HR community verzuim,Blog over leiderschap en verzuim/burn-out begeleiding door werkgevers.
lifeguard.nl,C14,Lifeguard mentaal welzijn werkgever,Vitaliteitsbureau met uitgebreide blog over mentale vitaliteit werkvloer.
managementdrives.com,C4,duurzame inzetbaarheid vakblad,Vakblad Arbo-content publicerend met artikelen duurzame inzetbaarheid.
matchvermogen.nl,C2,arbeidsdeskundige blog,Arbeidsdeskundig blog over duurzame inzetbaarheid en sociale zekerheid.
menzis.nl,C7,Menzis werkgever vitaliteit blog,Menzis Zakelijk publiceert blogs over leefkracht en vitaliteit voor werkgevers.
ministerievaninzetbaarheid.nl,C1,HR werkgeluk tools,Blog/platform over werkgeluk-onderzoek en HR-tools voor inzetbaarheid.
move4vitality.nl,C4,vitaliteit werkgever blog,Vitaliteitsbureau dat verzuim-naar-vitaliteit thema bespreekt voor werkgevers.
ncoi.nl,C6|C13,leidinggeven blog Nederland artikel,Opleider met uitgebreide blog over management en leidinggeven
nicedaynederland.nl,C14,Niceday Nederland blog,Online behandelplatform voor burn-out en stress met content voor werkenden.
nmbrs.com,C10,HR-software vendor blog Nederland werkgever,Salaris- en HR-software met NL-blog voor werkgevers en accountants
nspoh.nl,C3,bedrijfsarts NSPOH,Opleidingsinstituut bedrijfsartsen met kennisartikelen.
nvvg.nl,C3,bedrijfsgeneeskunde vakblad,Nederlandse Vereniging voor Verzekeringsgeneeskunde; mede-uitgever TBV.
ondernemersblog.nl,C5,ondernemers blog Nederland verzuim,Platform voor en door ondernemers met content over verzuim en personeel
onvz.nl,C7,ONVZ werkgever content,Werkgeverssectie 'Job Werkt' met blogs over vitaliteit en preventie voor werkgevers.
othersideatwork.nl,C10,verzuimsoftware blog Nederland werkgever,Xpert Suite verzuimsoftware met klantverhalen en gedragsmatige visie op verzuim
personio.com,C10,"""Personio"" Nederland blog HR",Personio internationaal blog met NL-vertalingen over recruitment en performance
phocus.nl,C15,zorg HR blog Nederland,HR-adviesbureau met sectorpagina en blogs over HR in de zorg.
probaat.nu,C15,CNV Onderwijs HR blog,Werkgeluk-platform met thema-artikelen over werkstress en burn-out per sector.
psyned.nl,C4|C11,werkgever stress blog,Online psychologenplatform met uitgebreide blog voor werkgevers/HR.
rabobank.nl,C5,ondernemers blog Nederland verzuim,Rabobank ondernemers-portaal met content over verzuim en personeel
rendement.nl,C4|C6|C15|C12,vitaliteitsmanager blog,Praktijkvakblad voor HR/arbo professionals met grote bereik.
ruudmeulenberg.nl,C2|C15|C11,HR community verzuim burn-out,Adviseursblog gericht op HR voor langdurig verzuim en burn-out reductie.
scabadvies.nl,C15,Goedopgeleidpersoneel bouw infra,HR/arbo-adviesbureau gespecialiseerd in bouw & infra.
shiftbase.com,C5,HR-software vendor blog Nederland werkgever,Workforce-management tool met uitgebreide NL blog over HR-platformen
sn.nl,C6,leidinggeven blog Nederland artikel,Schouten Nelissen blog over nieuw leiderschap en menselijke kant van werk
sterkdoorwerk.nl,C4,preventie werknemer blog,Platform gericht op preventie en arbeidsongeschiktheid bij werkenden.
tbv-online.nl,C3|C8,Tijdschrift Bedrijfs- en Verzekeringsgeneeskunde,Tijdschrift voor Bedrijfs- en Verzekeringsgeneeskunde; accepteert manuscripts via redactie.
thuisinjelijf.net,C16,polyvagaal therapie blog,Lichaamsgerichte psychotherapiepraktijk met polyvagaal blogcontent.
tracksoftware.nl,C2,verzuim software arbodienst,Track verzuimsysteem met content voor arbodiensten en regiebedrijven.
trimbos.nl,C4|C12,Trimbos mentaal werkplek,Kennisinstituut mentale gezondheid met sterke blogsectie over werk en welzijn.
vakbladijs.nl,C2,re-integratie vakblad NL,Vakblad inkomenszekerheid met nieuws over re-integratie en loondoorbetaling.
verzekeringskaarten.nl,C7,inkomensverzekeraar blog werkgever,Informatiesite over verzekeringsproducten waaronder AOV.
vismaraet.nl,C10,"""Visma Raet"" blog gastauteur HR",Kennisbank met HR-blog en gastbijdragen van directie
vo-raad.nl,C15,onderwijs HR blog NL,Sectororganisatie voortgezet onderwijs met nieuws over werkstress en personeelsbeleid.
werkbaarwerk.be,C15,FNV werkgever blog,Belgisch platform met tools en voorbeelden over werkdruk (BE/NL).
werktijden.nl,C16,werkstress blog,Software/HR-platform met blog over werkstress en planning.
wspachterhoek.nl,C9,WSP werkgeversservicepunt artikel,Regionaal WSP met content over inclusieve arbeidsorganisatie.
xperthr.nl,C1|C13,XpertHR kennisplatform,Online HR-kennisplatform met juridische updates en HR-publicaties; eigen persberichtensectie.
youngworks.nl,C4,mentaal welzijn blog,Onderzoeksbureau over jongeren met blog over mentale gezondheid op werk.
zn.nl,C7,zorgverzekeraar werkgever content,Brancheorganisatie Zorgverzekeraars Nederland met beleidscontent.
zorgkrant.nl,C7,vernet verzuim benchmark zorg,Vakmedium zorg met nieuwsartikelen over verzuim en cao.
zorgwelzijn.nl,C12,Zorg en Welzijn vakblad publicatie auteur,Vakblad Zorg+Welzijn voor sociaal-zorgprofessionals met magazine en webartikelen.
