domain,category,source_query,first_impression
nlzorgnieuws.nl,C12,Nationale Zorggids artikel insturen,Nieuwsportal over zorg NL - mogelijk kanaal voor branchecontent.
npdi.nl,C2,duurzame inzetbaarheid platform,Nationaal Platform Duurzame Inzetbaarheid; kennisnetwerk met HR/DI focus.
nvp-hrnetwerk.nl,C8,NVP personeelsmanagement publicatie,Beroepsvereniging HR-professionals met magazine en partnerschap Tijdschrift voor HRM.
ondernemersbelang.nl,C16,ergonomie mentaal welzijn,Ondernemersmedium met regiocontent over werknemerswelzijn en ergonomie.
onderzoekonderwijs.net,C15,CNV Onderwijs HR blog,Blogcollectief onderzoek onderwijs over burn-out als beroepsrisico.
organizeagile.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Agile-adviseur met blog over leiderschap en coaching
personalfitnessnederland.nl,C4,vitaliteitsmanager blog,Personal training netwerk met vitaliteitsblog gericht op werkgevers/coaches.
pggm.nl,C7,vernet verzuim benchmark zorg,Pensioenuitvoerder zorg met persberichten en publicaties over verzuim in de zorgsector.
priorities.nl,C16,burnout werkgever blog,Coach/adviespraktijk met blogs over Arbeidsinspectie en burn-out preventie.
psychosenet.nl,C16,polyvagaal informatie,Patiëntenplatform met betrouwbare info over polyvagaal therapie.
qruxx.com,C12,Qruxx Zorg artikel publicatie,Kennisplatform passende zorg (geintegreerd met Zorgvisie) met openheid voor inhoudelijke bijdragen.
remplooi.nl,C9,UWV Perspectief artikel werkgever,Re-integratiebedrijf met blogs over verzuimprotocol en HR-praktijk.
rondomwerk.nl,C2,arbodienst Nederland,Maatwerk arbodienst met informatieve content.
sboh.nl,C15,SBOH huisarts bedrijfsarts,Werkgever van artsen in opleiding met content over arbozaken en preventief spreekuur.
ser.nl,C9,SER blog werkgever Nederland,Sociaal-Economische Raad met thema's duurzame inzetbaarheid en leven lang ontwikkelen.
smartservices.nl,C5,ondernemers blog Nederland verzuim,Arbo/verzuim-adviseur met blog gericht op MKB-ondernemers
stavv.nl,C16,casemanager re-integratie,Verzuimbureau met blog over re-integratie en casemanagement.
svland.nl,C16,casemanagement ziekteverzuim,Verzuimspecialist met kennisbank casemanagement effectief verzuim.
therapoint.nl,C11,coach federatie Nederland blog,Coach- en therapeutenplatform met blog over coachvak en tarieven.
toolshero.nl,C1|C6,HR systemen casemanagement,Managementmodellen-platform met content over HR en casemanagement.
trendsinhr.nl,C6,ondernemerstijdschrift Nederland HR personeel artikel,Onderzoeksplatform met magazine over HR-trends in Nederland
upledger.nl,C16,polyvagaal blog,Opleidingsinstituut craniosacraal met blog over zenuwstelsel.
vernet.nl,C7,vernet verzuim benchmark zorg,Marktleider verzuimbenchmark zorg sinds 1996 met data en analyses.
visma.com,C10,"""Visma Raet"" blog gastauteur HR",Visma blog (NL) met content over digitale HR en hybride werken
vitalmindz.nl,C14,mental health benefit platform NL,Mental health app met content gericht op werkgevers en HR.
waarderpolder.nl,C9,WSP werkgeversservicepunt artikel,Bedrijventerrein-platform met artikelen over inclusief werkgeverschap.
werkreturn.nl,C9,UWV Perspectief artikel werkgever,Re-integratiebureau met content over arbeidsongeschiktheid.
wsgo.nl,C9,gemeente werkgevers vitaliteit blog,Werkgeversvereniging Samenwerkende Gemeentelijke Organisaties met cao-content.
wspzkij.nl,C9,WSP werkgeversservicepunt artikel,WSP Zuid-Kennemerland/IJmond met verslagen en artikelen over inclusie.
youforce.nl,C10,"""Visma Raet"" blog gastauteur HR",HR & salarisplatform van Visma met werkgever-content
zilverenkruis.nl,C1|C7,duurzame inzetbaarheid wetenschap,Zorgverzekeraar met zakelijke blog over wetenschap achter inzetbaarheid en KOBA-DI.
zorginstituutnederland.nl,C12,zorgmagazine vakblad B2B Nederland,Officieel Zorginstituut met magazine - autoriteitsplatform.
zorgvoorwerkgeluk.nl,C1|C12,HR Zone werkgeluk,HRM-kennisplatform voor zorgsector met focus op werkgeluk en welzijn; relevant voor HR in zorg.
