domain,category,source_query,first_impression
nonons.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachplatform met blog over leiderschapscoaching
nvab-online.nl,C3|C8,NVAB publicatie,Beroepsvereniging bedrijfsartsen NVAB; richtlijnen en actueel-sectie.
ondernemenmetpersoneel.nl,C5|C9,Nederlandse ondernemers magazine personeel verzuim,Specifiek platform voor werkgevers met content over verzuim en HR-trends
onderwijsvanmorgen.nl,C15,CNV Onderwijs HR blog,Onderwijsmedium met artikelen over werkdruk en werkgeluk.
oprijk.nl,C4,vitaliteit werkgever blog,Bedrijfszorg-platform met content over vitaliteit en mentale gezondheid.
performa-hr.nl,C14|C10,OpenUp werkgever blog,HR-platform dat interviews en gastbijdragen publiceert van mentale-welzijnpartijen.
perspectief.eu,C16|C9,slaap werkgever blog,Adviesbureau met blog over impact van slaapproblemen op organisaties.
prikvandezaak.nl,C4,vitaliteit werkgever blog,Werkgeversblog met content over fysieke en mentale gezondheid op werkvloer.
psycholoog.nl,C11,psycholoog blog werkgever Nederland burn-out,Landelijk psychologenkanaal met blogs over burn-out en mentaal welzijn werknemer.
qivi.nl,C16,burn-out preventie leidinggevenden,Coachbureau met blog gericht op leidinggevenden en burn-outpreventie.
register-rsc.nl,C2|C8,RCMS register casemanagement,Register Specialistisch Casemanagement; centrale autoriteit voor casemanagers met PE-content.
rochewood.nl,C2,casemanager opleiding,Kennisartikelen over opleidingen voor casemanagers en regiebehoeften.
sazas.nl,C4,vitaliteit werkgever blog,Verzuimverzekeraar met uitgebreide kennisbank over vitaliteit en preventie.
sensgezondheidszorg.nl,C16,psychosomatische fysiotherapie,Zorginstelling met informatieve content over psychosomatiek.
smarthealth.works,C16,stress werkgever blog,Werkstress-platform met blog gericht op werkgevers.
sprout.nl,C5,Sprout MT schrijf mee gastauteur,Platform van MT/Sprout voor ondernemers en scale-ups met redactie-input
stressvrijvoordeklas.nl,C15,CNV Onderwijs HR blog,Coachingblog voor leerkrachten met burn-out en stress.
tempo-team.nl,C1|C16,burn-out werkgevers verzuim,Uitzendbureau met uitgebreide HR-kennisbank over burn-out en verzuim voor werkgevers.
tijdschriftvoorhrm.nl,C1|C4|C6|C15|C13,HR vakblad gastblog,Wetenschappelijk HR-tijdschrift met peer-reviewed artikelen voor HR-professionals; accepteert ingezonden artikelen via redactie.
transvorm.org,C15,Transvorm zorg arbeidsmarkt,Regionale werkgeversorganisatie zorg/welzijn Brabant met blogs en artikelen.
unive.nl,C5,ondernemers blog Nederland verzuim,Verzekeraar met zakelijke blog over verzuim en CAO-vraagstukken
venvn.nl,C15,V&VN zorg HR blog,Beroepsvereniging V&VN met magazine en blogs over werkdruk en grenzen stellen in zorg.
verzuimdynamiek.nl,C4,preventie werknemer blog,Verzuimspecialist met blog over preventie en time-out programma's.
vitaliblij.nl,C7,Menzis werkgever vitaliteit blog,Blog gericht op vitaliteit binnen gemeenten en organisaties.
vzinfo.nl,C12,vakblad arbeid en gezondheid Nederland,RIVM Volksgezondheid en Zorg info - autoriteitsplatform arbeid/gezondheid.
werkpsycholoog.nl,C16,verzuim psychische klachten,Bedrijfspsychologenpraktijk met blog gericht op managers en HR.
wijzerondernemen.nl,C5,ondernemers blog Nederland verzuim,Ondernemersblog met tips inclusief gastblog-mogelijkheden
wsprivierenland.nl,C9,WSP werkgeversservicepunt artikel,Regionaal WSP Rivierenland met blogartikelen over sociaal ondernemen.
yoobi.nl,C10,"""Tellow"" OR ""Exact"" OR ""Yoobi"" ondernemers blog HR personeel",Software voor uren verlof en HR met blog voor managers en HR
zichtbaarnetwerken.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Ondernemersnetwerk met expliciete gastblog-mogelijkheid
zorggidsnederland.nl,C12,Nationale Zorggids artikel insturen,Alternatieve zorgportal met artikelsectie.
zorgvisie.nl,C1|C7|C12,Zorgvisie HR zorg,Zorgmanagement vakblad gedeeld redactie met Skipr; HR-content voor zorgleidinggevenden.
zw-connect.nl,C15,RegioPlus zorgwerkgever blog,Online platform zorg & welzijn met arbeidsmarkt- en HR-content.
