domain,category,source_query,first_impression
nti.nl,C13,master HRM blog Nederland onderzoek werk,NTI Master HRM - opleider met blog-/contentcontext.
nvz-ziekenhuizen.nl,C15,zorg HR blog Nederland,Vereniging Nederlandse Ziekenhuizen met opinieartikelen over HR-beleid in zorg.
onderwijsacademie.nl,C15,onderwijs HR blog NL,Onderwijsacademie met blog over HRM en het onderwijs voor schoolleiders.
openup.com,C14|C15|C11,OpenUp werkgever blog,Internationaal mentaal welzijn platform met grote NL blog voor werkgevers.
oval.nl,C3|C4|C8,OVAL arbodienst,Brancheorganisatie arbodiensten met nieuws en checklists; thematische dossiers vitaliteit.
personio.nl,C10,"""Personio"" Nederland blog HR",Personio NL blog met HR-statistieken en strategie-content
politiebond.nl,C7,inkomensverzekeraar blog werkgever,Vakbondsite politie met content over inkomensbescherming en vitaliteit.
profielen.hr.nl,C13,Hogeschool Rotterdam HRM blog,Onafhankelijk nieuws Hogeschool Rotterdam met blogsectie.
publiekdenken.nl,C9,A&O fonds Rijk blog,Online magazine voor publieke sector met content over A&O-fondsen.
recruitee.com,C10,"""Officient"" OR ""Recruitee"" blog NL gastauteur",Recruitee NL blog over werving employer branding en HR-trends
rivm.nl,C4,preventie werknemer blog,Overheidskennisinstituut met dossier preventie op werk.
samennaarresultaat.nl,C11,mental coach blog NL stress werknemer,Coach voor leidinggevenden met werkstresscontent - past bij HR-thema.
schoonmakendnederland.nl,C4,arbodienst kennisbank vitaliteit,Brancheplatform schoonmaak met kennisbankartikelen incl. gastbijdragen vitaliteit.
skipr.nl,C1|C4|C12,Skipr werk HR zorg,Zorgmanagement platform met HR/personeelsinzet blogs; raakt bedrijfsgezondheidszorg in zorg.
sociaalweb.nl,C12,Zorg en Welzijn vakblad publicatie auteur,PONT Zorg & Sociaal kennisplatform met magazines - sociaal-zorgaudience.
stichting-leerkracht.nl,C15,onderwijs HR blog NL,Stichting voor onderwijs met kennisbank-artikelen over strategisch HRM in onderwijs.
team-hr.nl,C5,MKB platform Nederland gastartikel HR,HR-adviesbureau voor MKB met content over personeelsstrategie
tibor.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachingsblog over teamprestaties en leiderschap
trainingsbureauvoormindfulness.nl,C16,mindfulness werkgever,Mindfulness-trainingsbureau met werkgeverscontent.
ttifenarbo.nl,C2,arbodienst werkgever,Arbodienst met blog over wat een arbodienst doet voor werkgevers.
vds.nl,C6,leiderschap blog Nederland gastauteur,VDS training met blog over leiderschap en teamontwikkeling
verzekerverzuim.nl,C16,casemanager verzuim,Verzuimplatform met kennisbank rond casemanagement.
vitaalarbo.nl,C2|C4,arbeidsdeskundige blog,Arbodienst met blog over arbeidsdeskundig onderzoek.
volandis.nl,C9,SER blog werkgever Nederland,Kenniscentrum duurzame inzetbaarheid bouw & infra met blog over verzuimpreventie.
werkeninfriesland.nl,C9,A&O fonds Rijk blog,Regionaal arbeidsmarktplatform met artikelen over werkgeverschap.
wgvzorgenwelzijn.nl,C15,SectorplanPlus zorg welzijn,Werkgeversvereniging zorg & welzijn Oost-Nederland met nieuwsartikelen.
wspgrootamsterdam.nl,C9,WSP werkgeversservicepunt artikel,Werkgeversservicepunt Amsterdam met artikelen over inclusief werkgeverschap.
xperthractueel.nl,C1|C13,XpertHR kennisplatform,Actueel deel van XpertHR met nieuws en specialistische HR-content.
zakelijkgroeien.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Platform voor zzp en ondernemers met ondernemers-content
zorgaanzet.org,C15,SectorplanPlus zorg welzijn,Regionaal werkgeversverband zorg Limburg met blog over personeelsbehoud.
zorgmasters.nl,C3,bedrijfsgezondheidszorg platform,Platform Zorgmasters met kennisartikelen over bedrijfsgezondheidszorg.
zorgwijzer.nl,C7,zorgverzekeraar werkgever content,Vergelijkingssite met content over zorgverzekeraars in Nederland.
